Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"S06_0614_11230920", 13.8, 1,    7890.09,   -0.4,   0.99029, 2,    7890.09, -120.4,   0.99029, 3,    7890.09,  119.6,   0.99029
"S06_0614_11230929", 13.8, 1,    7889.72,   -0.4,   0.99025, 2,    7889.72, -120.4,   0.99025, 3,    7889.72,  119.6,   0.99025
"S06_0614_11230913", 13.8, 1,    7889.94,   -0.4,   0.99027, 2,    7889.94, -120.4,   0.99027, 3,    7889.94,  119.6,   0.99027
"S06_0614_11230922", 13.8, 1,    7887.87,   -0.4,   0.99001, 2,    7887.87, -120.4,   0.99001, 3,    7887.87,  119.6,   0.99001
"S06_0614_11230916", 13.8, 1,    7887.79,   -0.4,      0.99, 2,    7887.79, -120.4,      0.99, 3,    7887.79,  119.6,      0.99
"S06_0614_11230912", 13.8, 1,    7889.64,   -0.4,   0.99024, 2,    7889.64, -120.4,   0.99024, 3,    7889.64,  119.6,   0.99024
"S06_0614_11230930", 13.8, 1,    7887.94,   -0.4,   0.99002, 2,    7887.94, -120.4,   0.99002, 3,    7887.94,  119.6,   0.99002
"S06_0614_11230933", 13.8, 1,    7887.72,   -0.4,      0.99, 2,    7887.72, -120.4,      0.99, 3,    7887.72,  119.6,      0.99
"S06_0614_PT_CH1_725_S", 13.8, 1,    7879.39,   -0.4,   0.98895, 2,    7879.39, -120.4,   0.98895, 3,    7879.39,  119.6,   0.98895
"S06_0614_PT_TF_730", 13.8, 1,    7879.25,   -0.4,   0.98893, 2,    7879.25, -120.4,   0.98893, 3,    7879.25,  119.6,   0.98893
"S06_0614_11230914", 13.8, 1,    7886.99,   -0.4,    0.9899, 2,    7886.99, -120.4,    0.9899, 3,    7886.99,  119.6,    0.9899
"S06_0614_PT_CH1_111", 13.8, 1,    7886.84,   -0.4,   0.98988, 2,    7886.84, -120.4,   0.98988, 3,    7886.84,  119.6,   0.98988
"S06_0614_11230927", 13.8, 1,    7887.06,   -0.4,   0.98991, 2,    7887.06, -120.4,   0.98991, 3,    7887.06,  119.6,   0.98991
"S06_0614_11230915", 13.8, 1,    7886.98,   -0.4,    0.9899, 2,    7886.98, -120.4,    0.9899, 3,    7886.98,  119.6,    0.9899
"S06_0614_11231083", 13.8, 1,    7882.18,   -0.4,    0.9893, 2,    7882.18, -120.4,    0.9893, 3,    7882.18,  119.6,    0.9893
"S06_0614_11231080", 13.8, 1,    7882.03,   -0.4,   0.98928, 2,    7882.03, -120.4,   0.98928, 3,    7882.03,  119.6,   0.98928
"S06_0614_11231075", 13.8, 1,    7881.88,   -0.4,   0.98926, 2,    7881.88, -120.4,   0.98926, 3,    7881.88,  119.6,   0.98926
"06_AL0614", 13.8, 1,    7849.95,   -0.4,   0.98525, 2,    7849.95, -120.4,   0.98525, 3,    7849.95,  119.6,   0.98525
"S06_0614_11458598", 13.8, 1,    7850.68,   -0.4,   0.98535, 2,    7850.68, -120.4,   0.98535, 3,    7850.68,  119.6,   0.98535
"S06_0614_11458599", 13.8, 1,    7851.41,   -0.4,   0.98544, 2,    7851.41, -120.4,   0.98544, 3,    7851.41,  119.6,   0.98544
"S06_0614_11458600", 13.8, 1,    7852.14,   -0.4,   0.98553, 2,    7852.14, -120.4,   0.98553, 3,    7852.14,  119.6,   0.98553
"S06_0614_11260978", 13.8, 1,    7852.88,   -0.4,   0.98562, 2,    7852.88, -120.4,   0.98562, 3,    7852.88,  119.6,   0.98562
"S06_0614_11260981", 13.8, 1,    7853.61,   -0.4,   0.98571, 2,    7853.61, -120.4,   0.98571, 3,    7853.61,  119.6,   0.98571
"S06_0614_11260998", 13.8, 1,    7854.34,   -0.4,   0.98581, 2,    7854.34, -120.4,   0.98581, 3,    7854.34,  119.6,   0.98581
"S06_0614_11260983", 13.8, 1,    7855.07,   -0.4,    0.9859, 2,    7855.07, -120.4,    0.9859, 3,    7855.07,  119.6,    0.9859
"S06_0614_11464599", 13.8, 1,    7855.81,   -0.4,   0.98599, 2,    7855.81, -120.4,   0.98599, 3,    7855.81,  119.6,   0.98599
"S06_0614_11260985", 13.8, 1,    7856.54,   -0.4,   0.98608, 2,    7856.54, -120.4,   0.98608, 3,    7856.54,  119.6,   0.98608
"S06_0614_11260990", 13.8, 1,    7857.27,   -0.4,   0.98617, 2,    7857.27, -120.4,   0.98617, 3,    7857.27,  119.6,   0.98617
"S06_0614_11270776", 13.8, 1,       7858,   -0.4,   0.98627, 2,       7858, -120.4,   0.98627, 3,       7858,  119.6,   0.98627
"S06_0614_11270777", 13.8, 1,    7858.74,   -0.4,   0.98636, 2,    7858.74, -120.4,   0.98636, 3,    7858.74,  119.6,   0.98636
"S06_0614_11458682", 13.8, 1,    7859.47,   -0.4,   0.98645, 2,    7859.47, -120.4,   0.98645, 3,    7859.47,  119.6,   0.98645
"S06_0614_11458681", 13.8, 1,     7860.2,   -0.4,   0.98654, 2,     7860.2, -120.4,   0.98654, 3,     7860.2,  119.6,   0.98654
