Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    852.958,   141.27,    852.958,    21.27,    852.958,   -98.73,          0,     0.00, 3.07687E-006,    42.33,    852.958,   -38.73,    852.958,  -158.73,    852.958,    81.27,          0,     0.00, 3.07687E-006,  -137.67
Line.L_65641595,    852.958,   -38.73,    852.958,  -158.73,    852.958,    81.27,          0,     0.00, 3.19268E-006,  -151.70,    852.958,   141.27,    852.958,    21.27,    852.958,   -98.73,          0,     0.00, 3.19051E-006,    28.24
Line.L_65641611,    852.958,   -38.73,    852.958,  -158.73,    852.958,    81.27,          0,     0.00, 3.19848E-006,  -151.72,    852.958,   141.27,    852.958,    21.27,    852.958,   -98.73,          0,     0.00, 3.19886E-006,    28.25
Line.L_65641628,    852.958,   -38.73,    852.958,  -158.73,    852.958,    81.27,          0,     0.00, 3.21794E-006,  -151.67,    852.958,   141.27,    852.958,    21.27,    852.958,   -98.73,          0,     0.00, 3.21574E-006,    28.38
Line.L_65490270, 1.06187E-008,   164.74, 9.31323E-010,   -90.00, 4.65661E-009,   -53.13,          0,     0.00, 7.67988E-009,  -165.96, 1.23729E-008,   -19.80, 1.67897E-009,   146.31, 4.65661E-009,   126.87,          0,     0.00, 7.46512E-009,     3.58
Line.L_65641643,    852.958,   -38.73,    852.958,  -158.73,    852.958,    81.27,          0,     0.00, 3.22444E-006,  -151.77,    852.958,   141.27,    852.958,    21.27,    852.958,   -98.73,          0,     0.00, 3.22258E-006,    28.24
Line.L_65641658,    852.958,   -38.73,    852.958,  -158.73,    852.958,    81.27,          0,     0.00, 3.23775E-006,  -151.67,    852.958,   141.27,    852.958,    21.27,    852.958,   -98.73,          0,     0.00, 3.24005E-006,    28.34
Line.L_70004415,    637.174,   -37.86,    637.174,  -157.86,    637.174,    82.14,          0,     0.00, 1.9681E-006,  -148.74,    637.174,   142.14,    637.174,    22.14,    637.174,   -97.86,          0,     0.00, 1.96834E-006,    31.27
Line.L_65469923, 6.46917E-009,   120.26, 6.58545E-010,   -45.00, 3.72529E-009,   -90.00,          0,     0.00, 3.12375E-009,   153.43, 5.83472E-009,   -61.39, 9.31323E-010,   180.00, 2.32831E-009,   126.87,          0,     0.00, 3.29272E-009,   -81.87
Line.L_65394102, 1.62181E-008,   140.83, 9.42892E-009,   -20.22, 5.96337E-009,   -38.66,          0,     0.00, 3.39007E-009,    74.05, 1.65817E-008,   -38.16, 9.58855E-009,   150.95, 8.5484E-009,   119.36,          0,     0.00, 1.91997E-009,    75.96
Line.L_65394133,    852.958,   -38.73,    852.958,  -158.73,    852.958,    81.27,          0,     0.00, 3.2531E-006,  -151.37,    852.958,   141.27,    852.958,    21.27,    852.958,   -98.73,          0,     0.00, 3.25254E-006,    28.66
