Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SCN_CN05_9528_CEI027", 13.8, 1,    7868.04,   -0.5,   0.98753, 2,    7868.04, -120.5,   0.98753, 3,    7868.04,  119.5,   0.98753
"SCN_CN05_9453_CEI027", 13.8, 1,    7866.26,   -0.5,    0.9873, 2,    7866.26, -120.5,    0.9873, 3,    7866.26,  119.5,    0.9873
"SCN_CN05_9452_CEI027", 13.8, 1,    7864.48,   -0.5,   0.98708, 2,    7864.48, -120.5,   0.98708, 3,    7864.48,  119.5,   0.98708
"SCN_CN05_9451_CEI027", 13.8, 1,    7862.73,   -0.5,   0.98686, 2,    7862.73, -120.5,   0.98686, 3,    7862.73,  119.5,   0.98686
"SCN_CN05_9356_CEI027", 13.8, 1,    7860.98,   -0.5,   0.98664, 2,    7860.98, -120.5,   0.98664, 3,    7860.98,  119.5,   0.98664
"SCN_CN05_9355_CEI027", 13.8, 1,    7859.23,   -0.5,   0.98642, 2,    7859.23, -120.5,   0.98642, 3,    7859.23,  119.5,   0.98642
"SCN_CN05_9354_CEI027", 13.8, 1,    7857.49,   -0.5,    0.9862, 2,    7857.49, -120.5,    0.9862, 3,    7857.49,  119.5,    0.9862
"SCN_CN05_9338_CEI027", 13.8, 1,    7855.74,   -0.5,   0.98598, 2,    7855.74, -120.5,   0.98598, 3,    7855.74,  119.5,   0.98598
"SCN_CN05_9337_CEI027", 13.8, 1,    7854.01,   -0.5,   0.98576, 2,    7854.01, -120.5,   0.98576, 3,    7854.01,  119.5,   0.98576
"SCN_CN05_9247_CEI027", 13.8, 1,    7852.28,   -0.5,   0.98555, 2,    7852.28, -120.5,   0.98555, 3,    7852.28,  119.5,   0.98555
"SCN_CN05_9246_CEI027", 13.8, 1,    7850.56,   -0.5,   0.98533, 2,    7850.56, -120.5,   0.98533, 3,    7850.56,  119.5,   0.98533
"SCN_CN05_9245_CEI027", 13.8, 1,    7848.83,   -0.5,   0.98511, 2,    7848.83, -120.5,   0.98511, 3,    7848.83,  119.5,   0.98511
"SCN_CN05_9229_CEI027", 13.8, 1,     7847.1,   -0.5,    0.9849, 2,     7847.1, -120.5,    0.9849, 3,     7847.1,  119.5,    0.9849
"SCN_CN05_9228_CEI027", 13.8, 1,     7845.4,   -0.5,   0.98468, 2,     7845.4, -120.5,   0.98468, 3,     7845.4,  119.5,   0.98468
"SCN_CN05_9227_CEI027", 13.8, 1,    7843.69,   -0.5,   0.98447, 2,    7843.69, -120.5,   0.98447, 3,    7843.69,  119.5,   0.98447
"SCN_CN05_9128_CEI027", 13.8, 1,    7841.99,   -0.5,   0.98426, 2,    7841.99, -120.5,   0.98426, 3,    7841.99,  119.5,   0.98426
"SCN_CN05_9127_CEI027", 13.8, 1,    7840.28,   -0.5,   0.98404, 2,    7840.28, -120.5,   0.98404, 3,    7840.28,  119.5,   0.98404
"SCN_CN05_9107_CEI027", 13.8, 1,    7838.58,   -0.5,   0.98383, 2,    7838.58, -120.5,   0.98383, 3,    7838.58,  119.5,   0.98383
"SCN_CN05_9106_CEI027", 13.8, 1,    7836.89,   -0.5,   0.98362, 2,    7836.89, -120.5,   0.98362, 3,    7836.89,  119.5,   0.98362
"SCN_CN05_9485_CEI026", 13.8, 1,    7828.72,   -0.5,   0.98259, 2,    7828.72, -120.5,   0.98259, 3,    7828.72,  119.5,   0.98259
"SCN_CN05_9486_CEI026", 13.8, 1,    7829.36,   -0.5,   0.98267, 2,    7829.36, -120.5,   0.98267, 3,    7829.36,  119.5,   0.98267
"SCN_CN05_9486_CEI026_S", 13.8, 1,    7829.36,   -0.5,   0.98267, 2,    7829.36, -120.5,   0.98267, 3,    7829.36,  119.5,   0.98267
"SCN_CN05_9782_CEI026", 13.8, 1,    7830.01,   -0.5,   0.98275, 2,    7830.01, -120.5,   0.98275, 3,    7830.01,  119.5,   0.98275
"SCN_CN05_9119_CEI027", 13.8, 1,    7830.65,   -0.5,   0.98283, 2,    7830.65, -120.5,   0.98283, 3,    7830.65,  119.5,   0.98283
"SCN_CN05_9117_CEI027", 13.8, 1,     7831.3,   -0.5,   0.98291, 2,     7831.3, -120.5,   0.98291, 3,     7831.3,  119.5,   0.98291
"SCN_CN05_9116_CEI027", 13.8, 1,    7831.94,   -0.5,   0.98299, 2,    7831.94, -120.5,   0.98299, 3,    7831.94,  119.5,   0.98299
"SCN_CN05_9114_CEI027", 13.8, 1,    7832.59,   -0.5,   0.98308, 2,    7832.59, -120.5,   0.98308, 3,    7832.59,  119.5,   0.98308
"SCN_CN05_9113_CEI027", 13.8, 1,    7833.25,   -0.5,   0.98316, 2,    7833.25, -120.5,   0.98316, 3,    7833.25,  119.5,   0.98316
"SCN_CN05_9111_CEI027", 13.8, 1,     7833.9,   -0.5,   0.98324, 2,     7833.9, -120.5,   0.98324, 3,     7833.9,  119.5,   0.98324
"SCN_CN05_9109_CEI027", 13.8, 1,    7834.56,   -0.5,   0.98332, 2,    7834.56, -120.5,   0.98332, 3,    7834.56,  119.5,   0.98332
"SCN_CN05_9510_CEI027", 13.8, 1,    7814.59,   -0.5,   0.98082, 2,    7814.59, -120.5,   0.98082, 3,    7814.59,  119.5,   0.98082
"SCN_CN05_419188_CEI", 13.8, 1,    7814.59,   -0.5,   0.98082, 2,    7814.59, -120.5,   0.98082, 3,    7814.59,  119.5,   0.98082
"SCN_CN05_9014_CEI027", 13.8, 1,    7835.15,   -0.5,    0.9834, 2,    7835.15, -120.5,    0.9834, 3,    7835.15,  119.5,    0.9834
"SCN_CN05_9015_CEI027", 13.8, 1,    7835.18,   -0.5,    0.9834, 2,    7835.18, -120.5,    0.9834, 3,    7835.18,  119.5,    0.9834
"SCN_CN05_9013_CEI027", 13.8, 1,    7835.13,   -0.5,   0.98339, 2,    7835.13, -120.5,   0.98339, 3,    7835.13,  119.5,   0.98339
"SCN_CN05_9012_CEI027", 13.8, 1,     7835.1,   -0.5,   0.98339, 2,     7835.1, -120.5,   0.98339, 3,     7835.1,  119.5,   0.98339
"SCN_CN05_9103_CEI027", 13.8, 1,    7833.21,   -0.5,   0.98315, 2,    7833.21, -120.5,   0.98315, 3,    7833.21,  119.5,   0.98315
"SCN_CN05_9104_CEI027", 13.8, 1,    7834.21,   -0.5,   0.98328, 2,    7834.21, -120.5,   0.98328, 3,    7834.21,  119.5,   0.98328
"SCN_CN05_9102_CEI027", 13.8, 1,    7832.21,   -0.5,   0.98303, 2,    7832.21, -120.5,   0.98303, 3,    7832.21,  119.5,   0.98303
"SCN_CN05_9101_CEI027", 13.8, 1,    7831.21,   -0.5,    0.9829, 2,    7831.21, -120.5,    0.9829, 3,    7831.21,  119.5,    0.9829
"SCN_CN05_9100_CEI027", 13.8, 1,    7830.21,   -0.5,   0.98278, 2,    7830.21, -120.5,   0.98278, 3,    7830.21,  119.5,   0.98278
"SCN_CN05_9099_CEI027", 13.8, 1,    7829.21,   -0.5,   0.98265, 2,    7829.21, -120.5,   0.98265, 3,    7829.21,  119.5,   0.98265
"SCN_CN05_9098_CEI027", 13.8, 1,    7828.22,   -0.5,   0.98253, 2,    7828.22, -120.5,   0.98253, 3,    7828.22,  119.5,   0.98253
"SCN_CN05_9028_CEI027", 13.8, 1,     7827.2,   -0.5,    0.9824, 2,     7827.2, -120.5,    0.9824, 3,     7827.2,  119.5,    0.9824
"SCN_CN05_9035_CEI027", 13.8, 1,    7827.21,   -0.5,    0.9824, 2,    7827.21, -120.5,    0.9824, 3,    7827.21,  119.5,    0.9824
"SCN_CN05_9027_CEI027", 13.8, 1,     7827.2,   -0.5,    0.9824, 2,     7827.2, -120.5,    0.9824, 3,     7827.2,  119.5,    0.9824
"SCN_CN05_9090_CEI027", 13.8, 1,    7825.25,   -0.5,   0.98215, 2,    7825.25, -120.5,   0.98215, 3,    7825.25,  119.5,   0.98215
"SCN_CN05_9139_CEI027", 13.8, 1,    7825.24,   -0.5,   0.98215, 2,    7825.24, -120.5,   0.98215, 3,    7825.24,  119.5,   0.98215
"SCN_CN05_9093_CEI027", 13.8, 1,    7826.23,   -0.5,   0.98228, 2,    7826.23, -120.5,   0.98228, 3,    7826.23,  119.5,   0.98228
"SCN_CN05_CEI_FL_MT_1294", 13.8, 1,    7827.22,   -0.5,    0.9824, 2,    7827.22, -120.5,    0.9824, 3,    7827.22,  119.5,    0.9824
"SCN_CN05_9094_CEI027", 13.8, 1,    7827.22,   -0.5,    0.9824, 2,    7827.22, -120.5,    0.9824, 3,    7827.22,  119.5,    0.9824
"SCN_CN05_9095_CEI027", 13.8, 1,    7827.22,   -0.5,    0.9824, 2,    7827.22, -120.5,    0.9824, 3,    7827.22,  119.5,    0.9824
"SCN_CN05_9141_CEI027", 13.8, 1,    7824.27,   -0.5,   0.98203, 2,    7824.27, -120.5,   0.98203, 3,    7824.27,  119.5,   0.98203
"SCN_CN05_9087_CEI027", 13.8, 1,     7823.3,   -0.5,   0.98191, 2,     7823.3, -120.5,   0.98191, 3,     7823.3,  119.5,   0.98191
"SCN_CN05_9086_CEI027", 13.8, 1,    7822.32,   -0.5,   0.98179, 2,    7822.32, -120.5,   0.98179, 3,    7822.32,  119.5,   0.98179
"SCN_CN05_9085_CEI027", 13.8, 1,    7821.34,   -0.5,   0.98166, 2,    7821.34, -120.5,   0.98166, 3,    7821.34,  119.5,   0.98166
"SCN_CN05_9084_CEI027", 13.8, 1,    7820.37,   -0.5,   0.98154, 2,    7820.37, -120.5,   0.98154, 3,    7820.37,  119.5,   0.98154
"SCN_CN05_9083_CEI027", 13.8, 1,    7819.39,   -0.5,   0.98142, 2,    7819.39, -120.5,   0.98142, 3,    7819.39,  119.5,   0.98142
"SCN_CN05_9046_CEI027", 13.8, 1,    7819.39,   -0.5,   0.98142, 2,    7819.39, -120.5,   0.98142, 3,    7819.39,  119.5,   0.98142
"SCN_CN05_9045_CEI027", 13.8, 1,    7819.38,   -0.5,   0.98142, 2,    7819.38, -120.5,   0.98142, 3,    7819.38,  119.5,   0.98142
"SCN_CN05_9044_CEI027", 13.8, 1,    7819.38,   -0.5,   0.98142, 2,    7819.38, -120.5,   0.98142, 3,    7819.38,  119.5,   0.98142
