Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    1930.87,   139.47,    1930.87,    19.47,    1930.87,  -100.53,          0,     0.00, 0.000191364,    92.15,    1930.87,   -40.53,    1930.87,  -160.53,    1930.87,    79.47,          0,     0.00, 0.000191364,   -87.85
Line.L_CEI_MT_5070,    1394.84,   -41.63,    1394.84,  -161.63,    1394.84,    78.37,          0,     0.00, 0.000190734,   -87.90,    1394.84,   138.37,    1394.84,    18.37,    1394.84,  -101.63,          0,     0.00, 0.000190733,    92.10
Line.L_CEI_MT_15536,    1.05576,   138.33,    1.05576,    18.33,    1.05576,  -101.67,          0,     0.00, 4.79428E-009,   -29.05,    1.05576,   -41.67,    1.05576,  -161.67,    1.05576,    78.33,          0,     0.00, 7.00042E-009,   176.19
Line.L_CEI_MT_15882A,    1.05315,   -41.64,    1.05315,  -161.64,    1.05315,    78.36,          0,     0.00, 5.1434E-009,    95.19,    1.05315,   138.36,    1.05315,    18.36,    1.05315,  -101.64,          0,     0.00, 2.32831E-009,   -53.13
Line.L_CEI_MT_16214A,    63.2733,   138.35,    63.2733,    18.35,    63.2733,  -101.65,          0,     0.00, 1.08738E-006,   -68.39,    63.2733,   -41.65,    63.2733,  -161.65,    63.2733,    78.35,          0,     0.00, 1.0892E-006,   111.52
Line.L_CEI_MT_16214A99,    63.2733,   -41.65,    63.2733,  -161.65,    63.2733,    78.35,          0,     0.00, 7.41521E-007,  -163.02,    63.2733,   138.35,    63.2733,    18.35,    63.2733,  -101.65,          0,     0.00, 7.42993E-007,    16.98
Line.L_CEI_MT_16434A,    39.5444,   138.35,    39.5444,    18.35,    39.5444,  -101.65,          0,     0.00, 1.03194E-006,   -67.47,    39.5444,   -41.65,    39.5444,  -161.65,    39.5444,    78.35,          0,     0.00, 1.02908E-006,   112.48
Line.L_CEI_MT_171819,    283.964,   138.39,    283.964,    18.39,    283.964,  -101.61,          0,     0.00, 3.39998E-005,    85.42,    283.964,   -41.61,    283.964,  -161.61,    283.964,    78.39,          0,     0.00, 3.39992E-005,   -94.58
Line.L_CEI_MT_171820,    283.964,   138.39,    283.964,    18.39,    283.964,  -101.61,          0,     0.00, 3.39953E-005,    85.42,    283.964,   -41.61,    283.964,  -161.61,    283.964,    78.39,          0,     0.00, 3.39947E-005,   -94.58
Line.L_CEI_MT_171828,    1.58219,   138.34,    1.58219,    18.34,    1.58219,  -101.66,          0,     0.00, 6.0536E-009,   -90.00,    1.58219,   -41.66,    1.58219,  -161.66,    1.58219,    78.34,          0,     0.00, 5.20625E-009,   100.30
