Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    143.694,   154.80,    143.695,    34.80,    143.695,   -85.20,          0,     0.00, 0.00294582,   -40.48,    143.694,   -25.20,    143.695,  -145.20,    143.695,    94.80,          0,     0.00, 0.00294582,   139.52
Line.L_BSB_MT_8922,    143.305,   154.80,    143.307,    34.80,    143.307,   -85.20,          0,     0.00, 0.00296764,   -39.88,    143.305,   -25.20,    143.307,  -145.20,    143.307,    94.80,          0,     0.00, 0.00296764,   140.12
Line.L_BSB_MT_639,   0.508355,   -24.83,   0.508355,  -144.83,   0.508355,    95.17,          0,     0.00, 2.68858E-007,     5.67,   0.508355,   155.17,   0.508355,    35.17,   0.508355,   -84.83,          0,     0.00, 2.68921E-007,  -174.34
Line.L_BSB_MT_3447, 5.82077E-010,   -53.13, 3.49246E-010,    90.00, 8.14907E-010,     0.00,          0,     0.00, 1.16996E-009,    -5.71, 6.98492E-010,    90.00, 4.19741E-010,   -56.31, 4.65661E-010,   180.00,          0,     0.00, 4.19741E-010,   123.69
Line.L_BSB_MT_3001,   0.368758,   155.01,   0.368991,    34.98,   0.368957,   -85.01,          0,     0.00, 0.000311547,   -51.38,   0.368758,   -24.99,   0.368991,  -145.02,   0.368957,    94.99,          0,     0.00, 0.000311547,   128.62
Line.L_BSB_MT_3004,     10.989,   154.96,     10.989,    34.96,     10.989,   -85.04,          0,     0.00, 8.18472E-006,  -172.90,     10.989,   -25.04,     10.989,  -145.04,     10.989,    94.96,          0,     0.00, 8.18474E-006,     7.11
Line.L_BSB_MT_3005,    43.6586,   154.97,    43.6589,    34.97,    43.6586,   -85.03,          0,     0.00, 0.000511028,    -8.79,    43.6586,   -25.03,    43.6589,  -145.03,    43.6586,    94.97,          0,     0.00, 0.000511028,   171.21
Line.L_BSB_MT_3006,    11.0245,   154.98,    11.0245,    34.98,    11.0246,   -85.02,          0,     0.00, 3.86821E-005,  -138.26,    11.0245,   -25.02,    11.0245,  -145.02,    11.0246,    94.98,          0,     0.00, 3.86822E-005,    41.74
Line.L_BSB_MT_3007,    3.77636,   -24.88,    3.77636,  -144.88,    3.77636,    95.12,          0,     0.00, 2.15917E-006,     5.36,    3.77636,   155.12,    3.77636,    35.12,    3.77636,   -84.88,          0,     0.00, 2.15923E-006,  -174.64
Line.L_BSB_MT_3015,    2.75033,   -25.03,    2.75025,  -145.03,     2.7503,    94.97,          0,     0.00, 0.00014249,   -17.07,    2.75033,   154.97,    2.75025,    34.97,     2.7503,   -85.03,          0,     0.00, 0.00014249,   162.93
Line.L_BSB_MT_3016,    9.16054,   -25.04,    9.16054,  -145.04,    9.16054,    94.96,          0,     0.00, 6.75374E-006,     6.49,    9.16054,   154.96,    9.16054,    34.96,    9.16054,   -85.04,          0,     0.00, 6.75382E-006,  -173.51
Line.L_BSB_MT_3019,    32.6341,   154.97,    32.6345,    34.97,    32.6341,   -85.03,          0,     0.00, 0.000408532,    -4.15,    32.6341,   -25.03,    32.6345,  -145.03,    32.6341,    94.97,          0,     0.00, 0.000408532,   175.85
Line.L_BSB_MT_3020,     5.5121,   -25.02,     5.5121,  -145.02,     5.5121,    94.98,          0,     0.00, 4.05405E-006,     6.70,     5.5121,   154.98,     5.5121,    34.98,     5.5121,   -85.02,          0,     0.00, 4.05411E-006,  -173.30
Line.L_BSB_MT_3021, 3.31835E-010,   142.13, 2.67534E-010,   112.38, 1.04935E-010,   146.31,          0,     0.00, 6.8037E-010,   131.53, 2.67138E-010,   -29.36, 2.25906E-010,   -75.07, 8.23181E-011,   -45.00,          0,     0.00, 5.36648E-010,   -49.40
Line.L_BSB_MT_3022, 3.95855E-010,   143.97, 1.86355E-010,   128.66, 1.54689E-010,   131.19,          0,     0.00, 7.31225E-010,   137.42, 3.23105E-010,   -35.84, 1.75228E-010,   -48.37, 1.04935E-010,   -33.69,          0,     0.00, 5.99991E-010,   -39.09
Line.L_BSB_MT_3023, 4.60172E-011,   108.43, 8.23181E-011,   135.00, 9.31777E-011,   141.34,          0,     0.00, 2.1633E-010,   132.27, 1.62695E-011,   153.43, 2.05795E-011,  -135.00, 3.25391E-011,   -63.43,          0,     0.00, 3.91822E-011,  -111.80
Line.L_BSB_MT_3025,    32.6341,   -25.03,    32.6345,  -145.03,    32.6341,    94.97,          0,     0.00, 0.000408532,   175.85,    32.6341,   154.97,    32.6345,    34.97,    32.6341,   -85.03,          0,     0.00, 0.000408532,    -4.15
Line.L_BSB_MT_3026,    32.6341,   154.97,    32.6345,    34.97,    32.6341,   -85.03,          0,     0.00, 0.000408532,    -4.15,    32.6341,   -25.03,    32.6345,  -145.03,    32.6341,    94.97,          0,     0.00, 0.000408532,   175.85
Line.L_BSB_MT_3027,    32.6341,   154.97,    32.6345,    34.97,    32.6341,   -85.03,          0,     0.00, 0.000408532,    -4.15,    32.6341,   -25.03,    32.6345,  -145.03,    32.6341,    94.97,          0,     0.00, 0.000408532,   175.85
Line.L_BSB_MT_3028,    31.5328,   154.97,    31.5332,    34.96,    31.5328,   -85.03,          0,     0.00, 0.000409332,    -4.13,    31.5328,   -25.03,    31.5332,  -145.04,    31.5328,    94.97,          0,     0.00, 0.000409332,   175.87
Line.L_BSB_MT_3029,    31.5328,   154.97,    31.5332,    34.96,    31.5328,   -85.03,          0,     0.00, 0.000409332,    -4.13,    31.5328,   -25.03,    31.5332,  -145.04,    31.5328,    94.97,          0,     0.00, 0.000409332,   175.87
Line.L_BSB_MT_3030, 8.31948E-006,   108.33, 4.40842E-005,     9.62, 4.90165E-005,    -2.19,          0,     0.00, 9.08221E-005,     8.48, 8.31952E-006,   -71.67, 4.40843E-005,  -170.38, 4.90169E-005,   177.81,          0,     0.00, 9.08224E-005,  -171.52
Line.L_BSB_MT_3031,    13.7384,   -25.04,    13.7384,  -145.04,    13.7383,    94.96,          0,     0.00, 0.000100962,    -0.66,    13.7384,   154.96,    13.7384,    34.96,    13.7383,   -85.04,          0,     0.00, 0.000100962,   179.34
Line.L_BSB_MT_3032, 7.03003E-005,   169.23, 3.68535E-005,   159.70, 8.80857E-005,   129.95,          0,     0.00, 0.000185454,   149.74, 7.03002E-005,   -10.77, 3.68534E-005,   -20.30, 8.80857E-005,   -50.05,          0,     0.00, 0.000185454,   -30.26
Line.L_BSB_MT_3049,   0.381256,   155.17,   0.381256,    35.17,   0.381256,   -84.83,          0,     0.00, 2.01769E-007,  -174.30,   0.381256,   -24.83,   0.381256,  -144.83,   0.381256,    95.17,          0,     0.00, 2.0172E-007,     5.74
Line.L_BSB_MT_3050,    4.13053,   155.17,    4.13053,    35.17,    4.13058,   -84.83,          0,     0.00, 7.08085E-005,   -95.79,    4.13053,   -24.83,    4.13053,  -144.83,    4.13058,    95.17,          0,     0.00, 7.08085E-005,    84.21
Line.L_BSB_MT_3051,    4.13053,   155.17,    4.13053,    35.17,    4.13058,   -84.83,          0,     0.00, 7.08084E-005,   -95.79,    4.13053,   -24.83,    4.13053,  -144.83,    4.13058,    95.17,          0,     0.00, 7.08084E-005,    84.21
