Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"ES_ALES12", 13.8, 1,    7962.52,    0.0,   0.99938, 2,    7962.52, -120.0,   0.99938, 3,    7962.52,  120.0,   0.99938
"SES_ES12_9050_BSB116_S", 13.8, 1,    7575.12,   -0.3,   0.95076, 2,    7575.12, -120.3,   0.95076, 3,    7575.12,  119.7,   0.95076
"SES_ES12_9051_BSB116", 13.8, 1,    7575.77,   -0.3,   0.95084, 2,    7575.77, -120.3,   0.95084, 3,    7575.77,  119.7,   0.95084
"SES_ES12_9007_BSB116", 13.8, 1,    7556.36,   -0.3,   0.94841, 2,    7556.36, -120.3,   0.94841, 3,    7556.36,  119.7,   0.94841
"SES_ES12_9008_BSB116", 13.8, 1,    7556.45,   -0.3,   0.94842, 2,    7556.45, -120.3,   0.94842, 3,    7556.45,  119.7,   0.94842
"SES_ES12_9049_BSB116", 13.8, 1,    7573.53,   -0.3,   0.95056, 2,    7573.53, -120.3,   0.95056, 3,    7573.53,  119.7,   0.95056
"SES_ES12_9050_BSB116", 13.8, 1,    7575.12,   -0.3,   0.95076, 2,    7575.12, -120.3,   0.95076, 3,    7575.12,  119.7,   0.95076
"SES_ES12_9069_BSB116", 13.8, 1,    7591.68,   -0.3,   0.95284, 2,    7591.68, -120.3,   0.95284, 3,    7591.68,  119.7,   0.95284
"SES_ES12_9070_BSB116", 13.8, 1,     7591.1,   -0.3,   0.95277, 2,     7591.1, -120.3,   0.95277, 3,     7591.1,  119.7,   0.95277
"SES_ES12_9009_BSB116", 13.8, 1,    7556.56,   -0.3,   0.94843, 2,    7556.56, -120.3,   0.94843, 3,    7556.56,  119.7,   0.94843
"SES_ES12_9010_BSB116", 13.8, 1,    7556.65,   -0.3,   0.94844, 2,    7556.66, -120.3,   0.94844, 3,    7556.66,  119.7,   0.94844
"SES_ES12_9040_BSB116", 13.8, 1,    7567.32,   -0.3,   0.94978, 2,    7567.32, -120.3,   0.94978, 3,    7567.32,  119.7,   0.94978
"SES_ES12_9041_BSB116", 13.8, 1,    7566.79,   -0.3,   0.94971, 2,    7566.79, -120.3,   0.94971, 3,    7566.79,  119.7,   0.94971
"SES_ES12_9117_BSB116", 13.8, 1,    7684.55,   -0.2,   0.96449, 2,    7684.55, -120.2,   0.96449, 3,    7684.55,  119.8,   0.96449
"SES_ES12_9118_BSB116", 13.8, 1,    7684.55,   -0.2,   0.96449, 2,    7684.55, -120.2,   0.96449, 3,    7684.55,  119.8,   0.96449
"SES_ES12_9119_BSB116", 13.8, 1,    7684.55,   -0.2,   0.96449, 2,    7684.55, -120.2,   0.96449, 3,    7684.55,  119.8,   0.96449
"SES_ES12_9120_BSB116", 13.8, 1,    7684.55,   -0.2,   0.96449, 2,    7684.55, -120.2,   0.96449, 3,    7684.55,  119.8,   0.96449
"SES_ES12_9121_BSB116", 13.8, 1,    7684.55,   -0.2,   0.96449, 2,    7684.55, -120.2,   0.96449, 3,    7684.55,  119.8,   0.96449
"SES_ES12_9096_BSB116", 13.8, 1,    7660.62,   -0.2,   0.96149, 2,    7660.62, -120.2,   0.96149, 3,    7660.62,  119.8,   0.96149
"SES_ES12_9097_BSB116_S", 13.8, 1,    7660.59,   -0.2,   0.96149, 2,    7660.59, -120.2,   0.96149, 3,    7660.59,  119.8,   0.96149
"SES_ES12_9099_BSB116", 13.8, 1,    7660.46,   -0.2,   0.96147, 2,    7660.46, -120.2,   0.96147, 3,    7660.46,  119.8,   0.96147
"SES_ES12_9100_BSB116", 13.8, 1,    7660.39,   -0.2,   0.96146, 2,     7660.4, -120.2,   0.96146, 3,     7660.4,  119.8,   0.96146
"SES_ES12_9102_BSB116", 13.8, 1,    7660.25,   -0.2,   0.96145, 2,    7660.25, -120.2,   0.96145, 3,    7660.25,  119.8,   0.96145
"SES_ES12_9105_BSB116", 13.8, 1,    7660.23,   -0.2,   0.96144, 2,    7660.24, -120.2,   0.96144, 3,    7660.24,  119.8,   0.96144
"SES_ES12_9108_BSB116_S", 13.8, 1,     7660.2,   -0.2,   0.96144, 2,     7660.2, -120.2,   0.96144, 3,     7660.2,  119.8,   0.96144
"SES_ES12_9106_BSB116", 13.8, 1,    7660.15,   -0.2,   0.96143, 2,    7660.15, -120.2,   0.96143, 3,    7660.15,  119.8,   0.96143
"SES_ES12_9108_BSB116", 13.8, 1,     7660.2,   -0.2,   0.96144, 2,     7660.2, -120.2,   0.96144, 3,     7660.2,  119.8,   0.96144
"SES_ES12_9110_BSB116", 13.8, 1,     7660.2,   -0.2,   0.96144, 2,     7660.2, -120.2,   0.96144, 3,     7660.2,  119.8,   0.96144
"SES_ES12_9111_BSB116", 13.8, 1,     7660.2,   -0.2,   0.96144, 2,     7660.2, -120.2,   0.96144, 3,     7660.2,  119.8,   0.96144
"SES_ES12_9071_BSB116", 13.8, 1,    7590.54,   -0.3,    0.9527, 2,    7590.54, -120.3,    0.9527, 3,    7590.54,  119.7,    0.9527
"SES_ES12_9072_BSB116", 13.8, 1,    7590.14,   -0.3,   0.95265, 2,    7590.14, -120.3,   0.95265, 3,    7590.14,  119.7,   0.95265
"SES_ES12_9048_BSB116", 13.8, 1,    7571.92,   -0.3,   0.95036, 2,    7571.92, -120.3,   0.95036, 3,    7571.92,  119.7,   0.95036
"SES_ES12_9044_BSB116", 13.8, 1,    7568.48,   -0.3,   0.94993, 2,    7568.48, -120.3,   0.94993, 3,    7568.48,  119.7,   0.94993
"SES_ES12_9045_BSB116", 13.8, 1,     7570.5,   -0.3,   0.95018, 2,     7570.5, -120.3,   0.95018, 3,     7570.5,  119.7,   0.95018
"SES_ES12_9039_BSB116", 13.8, 1,    7567.83,   -0.3,   0.94985, 2,    7567.83, -120.3,   0.94985, 3,    7567.83,  119.7,   0.94985
"SES_ES12_9028_BSB116", 13.8, 1,    7566.08,   -0.3,   0.94963, 2,    7566.08, -120.3,   0.94963, 3,    7566.08,  119.7,   0.94963
"SES_ES12_9042_BSB116", 13.8, 1,    7567.14,   -0.3,   0.94976, 2,    7567.14, -120.3,   0.94976, 3,    7567.14,  119.7,   0.94976
"SES_ES12_9029_BSB116", 13.8, 1,    7567.72,   -0.3,   0.94983, 2,    7567.72, -120.3,   0.94983, 3,    7567.72,  119.7,   0.94983
"SES_ES12_9030_BSB116", 13.8, 1,    7567.65,   -0.3,   0.94982, 2,    7567.65, -120.3,   0.94982, 3,    7567.65,  119.7,   0.94982
"SES_ES12_9031_BSB116", 13.8, 1,    7567.52,   -0.3,   0.94981, 2,    7567.52, -120.3,   0.94981, 3,    7567.52,  119.7,   0.94981
"SES_ES12_9032_BSB116", 13.8, 1,     7567.4,   -0.3,   0.94979, 2,     7567.4, -120.3,   0.94979, 3,     7567.4,  119.7,   0.94979
"SES_ES12_9033_BSB116", 13.8, 1,    7567.26,   -0.3,   0.94977, 2,    7567.26, -120.3,   0.94977, 3,    7567.26,  119.7,   0.94977
"SES_ES12_9045_BSB116_S", 13.8, 1,     7570.5,   -0.3,   0.95018, 2,     7570.5, -120.3,   0.95018, 3,     7570.5,  119.7,   0.95018
"SES_ES12_9081_BSB116", 13.8, 1,    7615.21,   -0.3,   0.95579, 2,    7615.21, -120.3,   0.95579, 3,    7615.21,  119.7,   0.95579
"SES_ES12_9082_BSB116", 13.8, 1,    7618.99,   -0.3,   0.95627, 2,    7618.99, -120.3,   0.95627, 3,    7618.99,  119.7,   0.95627
"SES_ES12_9077_BSB116", 13.8, 1,    7602.34,   -0.3,   0.95418, 2,    7602.34, -120.3,   0.95418, 3,    7602.34,  119.7,   0.95418
"SES_ES12_9078_BSB116", 13.8, 1,    7604.49,   -0.3,   0.95445, 2,    7604.49, -120.3,   0.95445, 3,    7604.49,  119.7,   0.95445
"SES_ES12_9073_BSB116", 13.8, 1,    7593.42,   -0.3,   0.95306, 2,    7593.42, -120.3,   0.95306, 3,    7593.42,  119.7,   0.95306
"SES_ES12_9074_BSB116", 13.8, 1,    7595.31,   -0.3,   0.95329, 2,    7595.32, -120.3,    0.9533, 3,    7595.32,  119.7,    0.9533
"SES_ES12_9112_BSB116", 13.8, 1,     7664.4,   -0.2,   0.96197, 2,    7664.41, -120.2,   0.96197, 3,    7664.41,  119.8,   0.96197
