Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    163.412,   155.33,    163.412,    35.33,    163.412,   -84.67,          0,     0.00, 5.14179E-005,    58.63,    163.412,   -24.67,    163.412,  -144.67,    163.412,    95.33,          0,     0.00, 5.14179E-005,  -121.37
Line.L_BSB_MT_2354,    0.38446,   155.57,    0.38446,    35.57,    0.38446,   -84.43,          0,     0.00, 6.33368E-009,  -126.03,    0.38446,   -24.43,    0.38446,  -144.43,    0.38446,    95.57,          0,     0.00, 6.26483E-009,    48.01
Line.L_BSB_MT_2355,    5.19021,   -24.43,    5.19021,  -144.43,    5.19021,    95.57,          0,     0.00, 6.77816E-007,   169.03,    5.19021,   155.57,    5.19021,    35.57,    5.19021,   -84.43,          0,     0.00, 6.8028E-007,   -11.01
Line.L_BSB_MT_2704,    4.51862,   -24.78,    4.51862,  -144.78,    4.51862,    95.22,          0,     0.00, 3.66405E-006,  -107.14,    4.51862,   155.22,    4.51862,    35.22,    4.51862,   -84.78,          0,     0.00, 3.66634E-006,    72.92
Line.L_BSB_MT_2706,    1.31857,   155.57,    1.31857,    35.57,    1.31857,   -84.43,          0,     0.00, 1.71064E-006,    82.02,    1.31857,   -24.43,    1.31857,  -144.43,    1.31857,    95.57,          0,     0.00, 1.70807E-006,   -98.04
Line.L_BSB_MT_2035,   0.384461,   -24.43,   0.384461,  -144.43,   0.384461,    95.57,          0,     0.00, 2.08718E-008,    51.34,   0.384461,   155.57,   0.384461,    35.57,   0.384461,   -84.43,          0,     0.00, 2.44461E-008,  -130.36
Line.L_BSB_MT_2036,   0.384461,   -24.43,   0.384461,  -144.43,   0.384461,    95.57,          0,     0.00, 1.77013E-008,    54.64,   0.384461,   155.57,   0.384461,    35.57,   0.384461,   -84.43,          0,     0.00, 1.8451E-008,  -132.95
Line.L_BSB_MT_2037,   0.384461,   -24.43,   0.384461,  -144.43,   0.384461,    95.57,          0,     0.00, 1.35042E-008,    46.40,   0.384461,   155.57,   0.384461,    35.57,   0.384461,   -84.43,          0,     0.00, 1.0861E-008,  -149.04
Line.L_BSB_MT_2038,   0.384461,   -24.43,   0.384461,  -144.43,   0.384461,    95.57,          0,     0.00, 9.59985E-009,    50.91,   0.384461,   155.57,   0.384461,    35.57,   0.384461,   -84.43,          0,     0.00, 6.92255E-009,  -160.35
Line.L_BSB_MT_2040,    0.96115,   -24.43,   0.961151,  -144.43,    0.96115,    95.57,          0,     0.00, 1.18988E-006,  -115.67,    0.96115,   155.57,   0.961151,    35.57,    0.96115,   -84.43,          0,     0.00, 1.19115E-006,    64.41
Line.L_BSB_MT_20401,   0.961149,   155.57,    0.96115,    35.57,    0.96115,   -84.43,          0,     0.00, 7.93168E-007,    43.48,   0.961149,   -24.43,    0.96115,  -144.43,    0.96115,    95.57,          0,     0.00, 7.95399E-007,  -136.30
Line.L_BSB_MT_2041,    0.96115,   -24.43,   0.961151,  -144.43,    0.96115,    95.57,          0,     0.00, 1.19742E-006,  -115.55,    0.96115,   155.57,   0.961151,    35.57,    0.96115,   -84.43,          0,     0.00, 1.19797E-006,    64.24
Line.L_BSB_MT_2042,    0.96115,   -24.43,   0.961151,  -144.43,    0.96115,    95.57,          0,     0.00, 1.19685E-006,  -116.11,    0.96115,   155.57,   0.961151,    35.57,    0.96115,   -84.43,          0,     0.00, 1.19538E-006,    63.83
Line.L_BSB_MT_2043,    0.96115,   -24.43,   0.961151,  -144.43,    0.96115,    95.57,          0,     0.00, 1.20567E-006,  -115.80,    0.96115,   155.57,   0.961151,    35.57,    0.96115,   -84.43,          0,     0.00, 1.20713E-006,    64.21
Line.L_BSB_MT_2044,    0.96115,   -24.43,   0.961151,  -144.43,    0.96115,    95.57,          0,     0.00, 1.20272E-006,  -115.92,    0.96115,   155.57,   0.961151,    35.57,    0.96115,   -84.43,          0,     0.00, 1.20417E-006,    64.04
Line.L_BSB_MT_2045,    0.96115,   -24.43,   0.961151,  -144.43,    0.96115,    95.57,          0,     0.00, 1.20496E-006,  -116.19,    0.96115,   155.57,   0.961151,    35.57,    0.96115,   -84.43,          0,     0.00, 1.20456E-006,    63.90
Line.L_BSB_MT_2046,    0.96115,   -24.43,   0.961151,  -144.43,    0.96115,    95.57,          0,     0.00, 1.20976E-006,  -116.10,    0.96115,   155.57,   0.961151,    35.57,    0.96115,   -84.43,          0,     0.00, 1.20725E-006,    63.79
Line.L_BSB_MT_2047,    1.15295,   -24.42,    1.15295,  -144.42,    1.15295,    95.58,          0,     0.00, 4.21674E-009,    96.34,    1.15295,   155.58,    1.15295,    35.58,    1.15295,   -84.42,          0,     0.00, 4.21674E-009,   -83.66
Line.L_BSB_MT_2048,    17.5844,   -24.33,    17.5844,  -144.33,    17.5844,    95.67,          0,     0.00, 6.72774E-006,  -130.46,    17.5844,   155.67,    17.5844,    35.67,    17.5844,   -84.33,          0,     0.00, 6.72845E-006,    49.55
Line.L_BSB_MT_2049,    17.5844,   155.67,    17.5844,    35.67,    17.5844,   -84.33,          0,     0.00, 3.7971E-006,    45.67,    17.5844,   -24.33,    17.5844,  -144.33,    17.5844,    95.67,          0,     0.00, 3.79279E-006,  -134.36
Line.L_BSB_MT_2050,    15.6625,   155.68,    15.6625,    35.68,    15.6625,   -84.32,          0,     0.00, 2.80834E-006,    64.27,    15.6625,   -24.32,    15.6625,  -144.32,    15.6625,    95.68,          0,     0.00, 2.81083E-006,  -115.75
Line.L_BSB_MT_7575,    5.19021,   -24.43,    5.19021,  -144.43,    5.19021,    95.57,          0,     0.00, 6.78522E-007,   169.56,    5.19021,   155.57,    5.19021,    35.57,    5.19021,   -84.43,          0,     0.00, 6.81395E-007,   -10.23
Line.L_BSB_MT_7579,    5.70281,   -24.43,    5.70282,  -144.43,    5.70282,    95.57,          0,     0.00, 4.38775E-006,  -121.64,    5.70281,   155.57,    5.70282,    35.57,    5.70282,   -84.43,          0,     0.00, 4.38638E-006,    58.38
Line.L_BSB_MT_6303, 4.30201E-007,   -47.76, 1.34958E-006,   170.33, 8.50353E-007,    50.64,          0,     0.00, 7.56368E-007,   131.58, 4.29856E-007,   132.28, 1.34867E-006,    -9.68, 8.49173E-007,  -129.26,          0,     0.00, 7.57334E-007,   -48.39
Line.L_BSB_MT_6304,    1.31857,   -24.43,    1.31857,  -144.43,    1.31857,    95.57,          0,     0.00, 1.70557E-006,   -98.00,    1.31857,   155.57,    1.31857,    35.57,    1.31857,   -84.43,          0,     0.00, 1.70275E-006,    82.11
Line.L_BSB_MT_6305,    2.88312,   -24.43,    2.88312,  -144.43,    2.88312,    95.57,          0,     0.00, 3.86109E-006,  -103.03,    2.88312,   155.57,    2.88312,    35.57,    2.88312,   -84.43,          0,     0.00, 3.85994E-006,    76.95
Line.L_BSB_MT_63051,    2.88312,   -24.43,    2.88312,  -144.43,    2.88312,    95.57,          0,     0.00, 3.86483E-006,  -103.12,    2.88312,   155.57,    2.88312,    35.57,    2.88312,   -84.43,          0,     0.00, 3.86686E-006,    76.87
Line.L_BSB_MT_3728, 1.31709E-009,   -45.00, 1.39698E-009,   -90.00, 2.63418E-009,    45.00,          0,     0.00, 2.83251E-009,    -9.46, 1.31709E-009,   135.00, 1.04125E-009,  -153.43, 2.0825E-009,  -116.57,          0,     0.00, 3.12375E-009,  -153.43
Line.L_BSB_MT_3439,    4.51862,   -24.78,    4.51862,  -144.78,    4.51862,    95.22,          0,     0.00, 2.71271E-006,  -140.68,    4.51862,   155.22,    4.51862,    35.22,    4.51862,   -84.78,          0,     0.00, 2.71042E-006,    39.38
Line.L_BSB_MT_3445,    7.40158,   -24.64,    7.40158,  -144.64,    7.40157,    95.36,          0,     0.00, 6.43916E-006,  -115.50,    7.40158,   155.36,    7.40158,    35.36,    7.40157,   -84.64,          0,     0.00, 6.43624E-006,    64.50
Line.L_BSB_MT_2051,    15.6625,   155.68,    15.6625,    35.68,    15.6625,   -84.32,          0,     0.00, 2.81276E-006,    64.33,    15.6625,   -24.32,    15.6625,  -144.32,    15.6625,    95.68,          0,     0.00, 2.81333E-006,  -115.74
Line.L_BSB_MT_7581,    19.9716,   154.92,    19.9716,    34.92,    19.9716,   -85.08,          0,     0.00, 3.33649E-006,   103.77,    19.9716,   -25.08,    19.9716,  -145.08,    19.9716,    94.92,          0,     0.00, 3.33751E-006,   -76.22
Line.L_BSB_MT_7624, 6.33368E-009,   107.10, 1.86265E-009,     0.00, 7.27386E-009,    50.19,          0,     0.00, 1.25383E-008,    68.20, 7.95722E-009,   -69.44, 7.46512E-009,  -176.42, 5.26836E-009,  -135.00,          0,     0.00, 1.43451E-008,  -125.75
Line.L_BSB_MT_7626,    1.56455,   -24.43,    1.56455,  -144.43,    1.56455,    95.57,          0,     0.00, 2.13605E-006,  -106.33,    1.56455,   155.57,    1.56455,    35.57,    1.56455,   -84.43,          0,     0.00, 2.13773E-006,    73.60
Line.L_BSB_MT_7663,    1.92234,   -24.43,    1.92234,  -144.43,    1.92234,    95.57,          0,     0.00, 8.58637E-009,    12.53,    1.92234,   155.57,    1.92234,    35.57,    1.92234,   -84.43,          0,     0.00, 8.43348E-009,   173.66
Line.L_BSB_MT_5378,    59.4576,   155.13,    59.4577,    35.13,    59.4576,   -84.87,          0,     0.00, 2.21386E-005,    64.51,    59.4576,   -24.87,    59.4577,  -144.87,    59.4576,    95.13,          0,     0.00, 2.21381E-005,  -115.49
Line.L_BSB_MT_2083,    4.03611,   155.57,    4.03611,    35.57,    4.03611,   -84.43,          0,     0.00, 2.0437E-006,    -4.02,    4.03611,   -24.43,    4.03611,  -144.43,    4.03611,    95.57,          0,     0.00, 2.04715E-006,   175.90
Line.L_BSB_MT_2084,    4.03611,   155.57,    4.03611,    35.57,    4.03611,   -84.43,          0,     0.00, 2.04122E-006,    -4.15,    4.03611,   -24.43,    4.03611,  -144.43,    4.03611,    95.57,          0,     0.00, 2.04268E-006,   175.83
Line.L_BSB_MT_2085,    2.88294,   -24.43,    2.88294,  -144.43,    2.88294,    95.57,          0,     0.00, 5.6073E-009,    -4.76,    2.88294,   155.57,    2.88294,    35.57,    2.88294,   -84.43,          0,     0.00, 4.65661E-009,   126.87
Line.L_BSB_MT_2086,    1.15318,   155.57,    1.15318,    35.57,    1.15317,   -84.43,          0,     0.00, 9.35713E-007,    28.73,    1.15318,   -24.43,    1.15318,  -144.43,    1.15317,    95.57,          0,     0.00, 9.36244E-007,  -151.09
Line.L_BSB_MT_2087,    1.15318,   155.57,    1.15318,    35.57,    1.15317,   -84.43,          0,     0.00, 9.46118E-007,    28.71,    1.15318,   -24.43,    1.15318,  -144.43,    1.15317,    95.57,          0,     0.00, 9.45301E-007,  -151.26
Line.L_BSB_MT_2088,    1.15318,   155.57,    1.15318,    35.57,    1.15317,   -84.43,          0,     0.00, 9.4935E-007,    28.54,    1.15318,   -24.43,    1.15318,  -144.43,    1.15317,    95.57,          0,     0.00, 9.47083E-007,  -151.42
Line.L_BSB_MT_7810,    16.8522,   -24.43,    16.8522,  -144.43,    16.8522,    95.57,          0,     0.00, 1.14119E-005,  -124.30,    16.8522,   155.57,    16.8522,    35.57,    16.8522,   -84.43,          0,     0.00, 1.14101E-005,    55.70
Line.L_BSB_MT_2743,    2.88312,   -24.43,    2.88312,  -144.43,    2.88312,    95.57,          0,     0.00, 2.58054E-006,  -103.12,    2.88312,   155.57,    2.88312,    35.57,    2.88312,   -84.43,          0,     0.00, 2.57964E-006,    76.87
Line.L_BSB_MT_2744, 3.69905E-007,   108.34, 1.65891E-006,   -48.25, 2.256E-006,  -133.81,          0,     0.00, 2.57918E-006,  -102.85, 3.71378E-007,   -71.43, 1.65795E-006,   131.73, 2.25734E-006,    46.22,          0,     0.00, 2.58026E-006,    77.09
Line.L_BSB_MT_2745, 3.71094E-007,   108.89, 1.65393E-006,   -48.23, 2.26256E-006,  -133.85,          0,     0.00, 2.58145E-006,  -103.12, 3.69912E-007,   -71.20, 1.65296E-006,   131.76, 2.26288E-006,    46.14,          0,     0.00, 2.58201E-006,    76.88
Line.L_BSB_MT_2746, 1.93237E-007,   109.57, 8.27561E-007,   -48.35, 1.12768E-006,  -133.80,          0,     0.00, 1.28468E-006,  -103.29, 1.91301E-007,   -70.82, 8.30115E-007,   131.75, 1.12934E-006,    46.25,          0,     0.00, 1.28781E-006,    76.94
Line.L_BSB_MT_2747, 1.91247E-007,   110.38, 8.24583E-007,   -48.34, 1.12628E-006,  -133.99,          0,     0.00, 1.28281E-006,  -103.56, 1.9081E-007,   -69.57, 8.24235E-007,   131.68, 1.12693E-006,    45.97,          0,     0.00, 1.28303E-006,    76.40
Line.L_BSB_MT_2748, 1.84842E-007,   109.58, 8.25475E-007,   -48.22, 1.128E-006,  -133.81,          0,     0.00, 1.28914E-006,  -103.13, 1.87066E-007,   -70.21, 8.271E-007,   131.80, 1.12864E-006,    46.15,          0,     0.00, 1.28844E-006,    76.82
Line.L_BSB_MT_2749, 1.86909E-007,   109.65, 8.25402E-007,   -48.13, 1.12527E-006,  -134.08,          0,     0.00, 1.2814E-006,  -103.30, 1.87662E-007,   -70.13, 8.25749E-007,   131.85, 1.12527E-006,    45.92,          0,     0.00, 1.28162E-006,    76.66
Line.L_BSB_MT_2750, 1.91997E-009,    75.96, 3.39007E-009,    15.95, 3.97861E-009,    69.44,          0,     0.00, 8.29086E-009,    51.84, 2.83251E-009,   -99.46, 4.19095E-009,   180.00, 3.83994E-009,  -104.04,          0,     0.00, 8.58637E-009,  -130.60
Line.L_BSB_MT_6543,    1.19509,   -13.40,    1.19508,  -133.40,    1.19509,   106.60,          0,     0.00, 3.49074E-006,    29.58,    1.19509,   166.60,    1.19508,    46.60,    1.19509,   -73.40,          0,     0.00, 3.49189E-006,  -150.38
Line.L_BSB_MT_6556,    3.39567,   -24.43,    3.39567,  -144.43,    3.39567,    95.57,          0,     0.00, 7.08928E-006,  -123.50,    3.39567,   155.57,    3.39567,    35.57,    3.39567,   -84.43,          0,     0.00, 7.08851E-006,    56.51
Line.L_BSB_MT_7870, 2.0825E-009,   -26.57, 3.39007E-009,  -164.05, 4.65661E-010,   180.00,          0,     0.00, 2.63418E-009,  -135.00, 1.67897E-009,   123.69, 3.25963E-009,     0.00, 1.39698E-009,     0.00,          0,     0.00, 3.97861E-009,    20.56
Line.L_BSB_MT_5431, 1.97783E-007,   109.25, 8.27448E-007,   -48.22, 1.12569E-006,  -133.83,          0,     0.00, 1.27655E-006,  -103.29, 1.96598E-007,   -70.92, 8.30005E-007,   131.88, 1.12601E-006,    46.16,          0,     0.00, 1.27762E-006,    76.88
Line.L_BSB_MT_5432, 6.58545E-010,   135.00, 2.32831E-009,    36.87, 4.65661E-009,    53.13,          0,     0.00, 6.98492E-009,    53.13, 1.04125E-009,  -153.43, 1.39698E-009,   180.00, 2.0825E-009,  -116.57,          0,     0.00, 4.00577E-009,  -144.46
Line.L_BSB_MT_5531,    5.19021,   -24.43,    5.19021,  -144.43,    5.19021,    95.57,          0,     0.00, 6.79949E-007,   169.34,    5.19021,   155.57,    5.19021,    35.57,    5.19021,   -84.43,          0,     0.00, 6.81581E-007,   -10.75
Line.L_BSB_MT_5532,   0.384461,   -24.43,   0.384461,  -144.43,   0.384461,    95.57,          0,     0.00, 4.74883E-009,   168.69,   0.384461,   155.57,   0.384461,    35.57,   0.384461,   -84.43,          0,     0.00, 1.04125E-009,    26.57
Line.L_BSB_MT_5533,    0.96115,   -24.43,   0.961151,  -144.43,    0.96115,    95.57,          0,     0.00, 1.20602E-006,  -116.09,    0.96115,   155.57,   0.961151,    35.57,    0.96115,   -84.43,          0,     0.00, 1.20371E-006,    63.78
Line.L_BSB_MT_5534,    4.03611,   155.57,    4.03611,    35.57,    4.03611,   -84.43,          0,     0.00, 2.03445E-006,    -4.41,    4.03611,   -24.43,    4.03611,  -144.43,    4.03611,    95.57,          0,     0.00, 2.03666E-006,   175.63
Line.L_BSB_MT_5537, 1.04125E-009,   153.43, 1.67897E-009,   -56.31, 1.39698E-009,     0.00,          0,     0.00, 1.67897E-009,   -33.69, 9.31323E-010,   -90.00, 9.31323E-010,   180.00, 1.86265E-009,   180.00,          0,     0.00, 2.9451E-009,  -161.57
Line.L_BSB_MT_5538, 1.97563E-009,   -45.00, 2.50766E-009,   158.20, 5.75991E-009,   -75.96,          0,     0.00, 6.07148E-009,   -85.60, 3.12375E-009,   116.57, 1.47255E-009,    18.43, 6.0536E-009,   112.62,          0,     0.00, 9.14879E-009,   104.74
Line.L_BSB_MT_5545,    16.0834,   -24.43,    16.0834,  -144.43,    16.0834,    95.57,          0,     0.00, 4.28347E-006,   -93.65,    16.0834,   155.57,    16.0834,    35.57,    16.0834,   -84.43,          0,     0.00, 4.28527E-006,    86.36
Line.L_BSB_MT_5546,     9.9961,   155.57,     9.9961,    35.57,     9.9961,   -84.43,          0,     0.00, 1.90547E-006,   113.52,     9.9961,   -24.43,     9.9961,  -144.43,     9.9961,    95.57,          0,     0.00, 1.90649E-006,   -66.58
Line.L_BSB_MT_5548,    7.68934,   -24.43,    7.68934,  -144.43,    7.68934,    95.57,          0,     0.00, 2.29757E-006,    -5.77,    7.68934,   155.57,    7.68934,    35.57,    7.68934,   -84.43,          0,     0.00, 2.2998E-006,   174.14
Line.L_BSB_MT_5552,    20.2479,   -24.43,    20.2479,  -144.43,    20.2479,    95.57,          0,     0.00, 2.09504E-005,  -123.33,    20.2479,   155.57,    20.2479,    35.57,    20.2479,   -84.43,          0,     0.00, 2.09511E-005,    56.68
Line.L_BSB_MT_5553,    1.63577,   -25.41,    1.63578,  -145.41,    1.63577,    94.59,          0,     0.00, 2.86734E-006,  -134.09,    1.63577,   154.59,    1.63578,    34.59,    1.63577,   -85.41,          0,     0.00, 2.86998E-006,    45.93
Line.L_BSB_MT_5554,     33.445,   -25.21,     33.445,  -145.21,     33.445,    94.79,          0,     0.00, 4.09093E-006,   -24.38,     33.445,   154.79,     33.445,    34.79,     33.445,   -85.21,          0,     0.00, 4.09062E-006,   155.59
Line.L_BSB_MT_5555,    6.51954,   153.56,    6.51954,    33.56,    6.51954,   -86.44,          0,     0.00, 3.17691E-006,    85.36,    6.51954,   -26.44,    6.51954,  -146.44,    6.51954,    93.56,          0,     0.00, 3.17637E-006,   -94.62
Line.L_BSB_MT_5556, 1.67897E-009,   123.69, 1.91997E-009,   165.96, 1.91997E-009,   -75.96,          0,     0.00, 2.32831E-009,   180.00, 1.86265E-009,   180.00,          0,     0.00, 1.91997E-009,    75.96,          0,     0.00, 2.32831E-009,   126.87
Line.L_BSB_MT_5557,    66.0021,   -24.65,    66.0021,  -144.65,    66.0021,    95.35,          0,     0.00, 1.57093E-005,  -119.84,    66.0021,   155.35,    66.0021,    35.35,    66.0021,   -84.65,          0,     0.00, 1.57097E-005,    60.16
Line.L_BSB_MT_2016,     9.9961,   155.57,     9.9961,    35.57,     9.9961,   -84.43,          0,     0.00, 1.90251E-006,   113.10,     9.9961,   -24.43,     9.9961,  -144.43,     9.9961,    95.57,          0,     0.00, 1.89975E-006,   -66.77
Line.L_BSB_MT_2018,    72.9197,   -24.63,    72.9197,  -144.63,    72.9197,    95.37,          0,     0.00, 1.93674E-005,  -116.80,    72.9197,   155.37,    72.9197,    35.37,    72.9197,   -84.63,          0,     0.00, 1.9371E-005,    63.20
Line.L_BSB_MT_2019,    0.38446,   155.57,    0.38446,    35.57,    0.38446,   -84.43,          0,     0.00, 1.28842E-006,    76.73,    0.38446,   -24.43,    0.38446,  -144.43,    0.38446,    95.57,          0,     0.00, 1.28522E-006,  -103.39
Line.L_BSB_MT_2863,    1.56455,   -24.43,    1.56455,  -144.43,    1.56455,    95.57,          0,     0.00, 2.11967E-006,  -106.34,    1.56455,   155.57,    1.56455,    35.57,    1.56455,   -84.43,          0,     0.00, 2.1182E-006,    73.66
Line.L_BSB_MT_2864,    1.56455,   -24.43,    1.56455,  -144.43,    1.56455,    95.57,          0,     0.00, 2.11305E-006,  -106.45,    1.56455,   155.57,    1.56455,    35.57,    1.56455,   -84.43,          0,     0.00, 2.11176E-006,    73.58
Line.L_BSB_MT_2870,    1.31857,   155.57,    1.31857,    35.57,    1.31857,   -84.43,          0,     0.00, 1.69362E-006,    82.51,    1.31857,   -24.43,    1.31857,  -144.43,    1.31857,    95.57,          0,     0.00, 1.69171E-006,   -97.48
Line.L_BSB_MT_2871,    1.31857,   -24.43,    1.31857,  -144.43,    1.31857,    95.57,          0,     0.00, 1.69189E-006,   -97.53,    1.31857,   155.57,    1.31857,    35.57,    1.31857,   -84.43,          0,     0.00, 1.69405E-006,    82.40
Line.L_BSB_MT_2872,    1.31857,   -24.43,    1.31857,  -144.43,    1.31857,    95.57,          0,     0.00, 1.69633E-006,   -97.70,    1.31857,   155.57,    1.31857,    35.57,    1.31857,   -84.43,          0,     0.00, 1.69356E-006,    82.29
Line.L_BSB_MT_2873,    1.56455,   -24.43,    1.56455,  -144.43,    1.56455,    95.57,          0,     0.00, 2.12398E-006,  -106.43,    1.56455,   155.57,    1.56455,    35.57,    1.56455,   -84.43,          0,     0.00, 2.12759E-006,    73.51
Line.L_BSB_MT_2874,    1.56455,   -24.43,    1.56455,  -144.43,    1.56455,    95.57,          0,     0.00, 2.12175E-006,  -106.45,    1.56455,   155.57,    1.56455,    35.57,    1.56455,   -84.43,          0,     0.00, 2.12412E-006,    73.56
Line.L_BSB_MT_2875,    1.56455,   -24.43,    1.56455,  -144.43,    1.56455,    95.57,          0,     0.00, 2.13503E-006,  -106.55,    1.56455,   155.57,    1.56455,    35.57,    1.56455,   -84.43,          0,     0.00, 2.13391E-006,    73.38
Line.L_BSB_MT_2876,    1.56455,   -24.43,    1.56455,  -144.43,    1.56455,    95.57,          0,     0.00, 2.14425E-006,  -106.72,    1.56455,   155.57,    1.56455,    35.57,    1.56455,   -84.43,          0,     0.00, 2.14367E-006,    73.29
