Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SNW_NW11_9023_BSB006", 13.8, 1,    7957.71,   -0.1,   0.99878, 2,    7957.71, -120.1,   0.99878, 3,    7957.71,  119.9,   0.99878
"SNW_NW11_9188_BSB005", 13.8, 1,    7954.01,   -0.1,   0.99832, 2,    7954.01, -120.1,   0.99832, 3,    7954.01,  119.9,   0.99832
"SNW_NW11_9189_BSB005", 13.8, 1,    7954.01,   -0.1,   0.99832, 2,    7954.01, -120.1,   0.99832, 3,    7954.01,  119.9,   0.99832
"SNW_NW11_9062_BSB005", 13.8, 1,    7954.07,   -0.1,   0.99832, 2,    7954.07, -120.1,   0.99832, 3,    7954.07,  119.9,   0.99832
"SNW_NW11_9063_BSB005", 13.8, 1,    7954.06,   -0.1,   0.99832, 2,    7954.06, -120.1,   0.99832, 3,    7954.06,  119.9,   0.99832
"SNW_NW11_9075_BSB006", 13.8, 1,    7955.23,   -0.1,   0.99847, 2,    7955.23, -120.1,   0.99847, 3,    7955.23,  119.9,   0.99847
"SNW_NW11_9076_BSB006", 13.8, 1,    7955.22,   -0.1,   0.99847, 2,    7955.22, -120.1,   0.99847, 3,    7955.22,  119.9,   0.99847
"SNW_NW11_9307_BSB007", 13.8, 1,    7954.96,   -0.1,   0.99843, 2,    7954.96, -120.1,   0.99843, 3,    7954.96,  119.9,   0.99843
"SNW_NW11_9309_BSB007", 13.8, 1,    7954.96,   -0.1,   0.99843, 2,    7954.96, -120.1,   0.99843, 3,    7954.96,  119.9,   0.99843
"SNW_NW11_9391_BSB005", 13.8, 1,    7954.01,   -0.1,   0.99832, 2,    7954.01, -120.1,   0.99832, 3,    7954.01,  119.9,   0.99832
"SNW_NW11_9392_BSB005", 13.8, 1,    7954.01,   -0.1,   0.99832, 2,    7954.01, -120.1,   0.99832, 3,    7954.01,  119.9,   0.99832
"SNW_NW11_9393_BSB005", 13.8, 1,    7954.01,   -0.1,   0.99832, 2,    7954.01, -120.1,   0.99832, 3,    7954.01,  119.9,   0.99832
"SNW_NW11_9394_BSB005", 13.8, 1,    7954.01,   -0.1,   0.99831, 2,    7954.01, -120.1,   0.99831, 3,    7954.01,  119.9,   0.99831
"SNW_NW11_9395_BSB005", 13.8, 1,    7954.01,   -0.1,   0.99831, 2,    7954.01, -120.1,   0.99831, 3,    7954.01,  119.9,   0.99831
"SNW_NW11_9396_BSB005", 13.8, 1,    7954.01,   -0.1,   0.99831, 2,    7954.01, -120.1,   0.99831, 3,    7954.01,  119.9,   0.99831
"SNW_NW11_9397_BSB005", 13.8, 1,    7954.01,   -0.1,   0.99831, 2,    7954.01, -120.1,   0.99831, 3,    7954.01,  119.9,   0.99831
"SNW_NW11_9072_BSB005", 13.8, 1,    7954.02,   -0.1,   0.99832, 2,    7954.02, -120.1,   0.99832, 3,    7954.02,  119.9,   0.99832
"SNW_NW11_9073_BSB005", 13.8, 1,    7954.02,   -0.1,   0.99832, 2,    7954.02, -120.1,   0.99832, 3,    7954.02,  119.9,   0.99832
"SNW_NW11_9072_BSB005_S", 13.8, 1,    7954.02,   -0.1,   0.99832, 2,    7954.02, -120.1,   0.99832, 3,    7954.02,  119.9,   0.99832
"SNW_NW11_9069_BSB005", 13.8, 1,    7954.02,   -0.1,   0.99832, 2,    7954.02, -120.1,   0.99832, 3,    7954.02,  119.9,   0.99832
"SNW_NW11_9074_BSB005", 13.8, 1,    7954.02,   -0.1,   0.99832, 2,    7954.02, -120.1,   0.99832, 3,    7954.02,  119.9,   0.99832
"SNW_NW11_9075_BSB005", 13.8, 1,    7954.02,   -0.1,   0.99832, 2,    7954.02, -120.1,   0.99832, 3,    7954.02,  119.9,   0.99832
"SNW_NW11_9076_BSB005", 13.8, 1,    7954.02,   -0.1,   0.99832, 2,    7954.02, -120.1,   0.99832, 3,    7954.02,  119.9,   0.99832
"SNW_NW11_9077_BSB005", 13.8, 1,    7954.02,   -0.1,   0.99832, 2,    7954.02, -120.1,   0.99832, 3,    7954.02,  119.9,   0.99832
"SNW_NW11_9078_BSB005", 13.8, 1,    7954.01,   -0.1,   0.99832, 2,    7954.01, -120.1,   0.99832, 3,    7954.01,  119.9,   0.99832
"SNW_NW11_9079_BSB005", 13.8, 1,    7954.01,   -0.1,   0.99832, 2,    7954.01, -120.1,   0.99832, 3,    7954.01,  119.9,   0.99832
"SNW_NW11_9080_BSB005", 13.8, 1,    7954.01,   -0.1,   0.99832, 2,    7954.01, -120.1,   0.99832, 3,    7954.01,  119.9,   0.99832
"SNW_NW11_9081_BSB005", 13.8, 1,    7954.01,   -0.1,   0.99832, 2,    7954.01, -120.1,   0.99832, 3,    7954.01,  119.9,   0.99832
"SNW_NW11_9082_BSB005", 13.8, 1,    7954.01,   -0.1,   0.99832, 2,    7954.01, -120.1,   0.99832, 3,    7954.01,  119.9,   0.99832
"SNW_NW11_9083_BSB005", 13.8, 1,    7954.01,   -0.1,   0.99831, 2,    7954.01, -120.1,   0.99831, 3,    7954.01,  119.9,   0.99831
"SNW_NW11_9084_BSB005_S", 13.8, 1,    7954.01,   -0.1,   0.99831, 2,    7954.01, -120.1,   0.99831, 3,    7954.01,  119.9,   0.99831
"SNW_NW11_9029_BSB006", 13.8, 1,     7956.9,   -0.1,   0.99868, 2,     7956.9, -120.1,   0.99868, 3,     7956.9,  119.9,   0.99868
"SNW_NW11_9030_BSB006", 13.8, 1,     7956.9,   -0.1,   0.99868, 2,     7956.9, -120.1,   0.99868, 3,     7956.9,  119.9,   0.99868
"SNW_NW11_9003_BSB006", 13.8, 1,     7955.5,   -0.1,    0.9985, 2,     7955.5, -120.1,    0.9985, 3,     7955.5,  119.9,    0.9985
"SNW_NW11_9104_BSB006", 13.8, 1,    7955.47,   -0.1,    0.9985, 2,    7955.47, -120.1,    0.9985, 3,    7955.47,  119.9,    0.9985
"SNW_NW11_9102_BSB006", 13.8, 1,    7955.42,   -0.1,   0.99849, 2,    7955.42, -120.1,   0.99849, 3,    7955.42,  119.9,   0.99849
"SNW_NW11_9103_BSB006", 13.8, 1,    7955.45,   -0.1,    0.9985, 2,    7955.45, -120.1,    0.9985, 3,    7955.45,  119.9,    0.9985
"SNW_NW11_9100_BSB006", 13.8, 1,    7955.38,   -0.1,   0.99849, 2,    7955.38, -120.1,   0.99849, 3,    7955.38,  119.9,   0.99849
"SNW_NW11_9101_BSB006", 13.8, 1,     7955.4,   -0.1,   0.99849, 2,     7955.4, -120.1,   0.99849, 3,     7955.4,  119.9,   0.99849
"SNW_NW11_9066_BSB005", 13.8, 1,    7954.04,   -0.1,   0.99832, 2,    7954.04, -120.1,   0.99832, 3,    7954.04,  119.9,   0.99832
"SNW_NW11_9067_BSB005", 13.8, 1,    7954.03,   -0.1,   0.99832, 2,    7954.03, -120.1,   0.99832, 3,    7954.03,  119.9,   0.99832
"SNW_NW11_9046_BSB005", 13.8, 1,    7954.17,   -0.1,   0.99834, 2,    7954.17, -120.1,   0.99834, 3,    7954.17,  119.9,   0.99834
"SNW_NW11_9047_BSB005", 13.8, 1,    7954.16,   -0.1,   0.99833, 2,    7954.16, -120.1,   0.99833, 3,    7954.16,  119.9,   0.99833
"SNW_NW11_9080_BSBRJ015_ATV", 13.8, 1,    7954.98,   -0.1,   0.99844, 2,    7954.98, -120.1,   0.99844, 3,    7954.98,  119.9,   0.99844
"SNW_NW11_9082_BSBRJ015_ATV", 13.8, 1,    7954.98,   -0.1,   0.99844, 2,    7954.98, -120.1,   0.99844, 3,    7954.98,  119.9,   0.99844
"SNW_NW11_9047_BSBRJ015_ATV", 13.8, 1,    7954.96,   -0.1,   0.99843, 2,    7954.96, -120.1,   0.99843, 3,    7954.96,  119.9,   0.99843
"SNW_NW11_9048_BSBRJ015_ATV", 13.8, 1,    7954.95,   -0.1,   0.99843, 2,    7954.95, -120.1,   0.99843, 3,    7954.95,  119.9,   0.99843
"SNW_NW11_9187_BSB003", 13.8, 1,    7954.95,   -0.1,   0.99843, 2,    7954.95, -120.1,   0.99843, 3,    7954.95,  119.9,   0.99843
"SNW_NW11_9164_BSB014", 13.8, 1,    7954.98,   -0.1,   0.99844, 2,    7954.98, -120.1,   0.99844, 3,    7954.98,  119.9,   0.99844
"SNW_NW11_9200_BSB014", 13.8, 1,    7954.98,   -0.1,   0.99844, 2,    7954.98, -120.1,   0.99844, 3,    7954.98,  119.9,   0.99844
"SNW_NW11_9078_BSB006", 13.8, 1,    7955.21,   -0.1,   0.99847, 2,    7955.21, -120.1,   0.99847, 3,    7955.21,  119.9,   0.99847
"SNW_NW11_9068_BSB006", 13.8, 1,    7955.29,   -0.1,   0.99848, 2,    7955.29, -120.1,   0.99848, 3,    7955.29,  119.9,   0.99848
"SNW_NW11_9069_BSB006", 13.8, 1,    7955.28,   -0.1,   0.99847, 2,    7955.28, -120.1,   0.99847, 3,    7955.28,  119.9,   0.99847
"SNW_NW11_9098_BSB006", 13.8, 1,    7955.33,   -0.1,   0.99848, 2,    7955.33, -120.1,   0.99848, 3,    7955.33,  119.9,   0.99848
"SNW_NW11_9099_BSB006", 13.8, 1,    7955.36,   -0.1,   0.99848, 2,    7955.36, -120.1,   0.99848, 3,    7955.36,  119.9,   0.99848
"SNW_NW11_9153_BSB006", 13.8, 1,    7954.89,   -0.1,   0.99843, 2,    7954.89, -120.1,   0.99843, 3,    7954.89,  119.9,   0.99843
"SNW_NW11_9154_BSB006_S", 13.8, 1,    7954.91,   -0.1,   0.99843, 2,    7954.91, -120.1,   0.99843, 3,    7954.91,  119.9,   0.99843
"SNW_NW11_9215_BSB003", 13.8, 1,     7954.9,   -0.1,   0.99843, 2,     7954.9, -120.1,   0.99843, 3,     7954.9,  119.9,   0.99843
"SNW_NW11_9216_BSB003", 13.8, 1,     7954.9,   -0.1,   0.99843, 2,     7954.9, -120.1,   0.99843, 3,     7954.9,  119.9,   0.99843
"SNW_NW11_9035_BSBRJ015_ATV", 13.8, 1,    7954.97,   -0.1,   0.99844, 2,    7954.97, -120.1,   0.99844, 3,    7954.97,  119.9,   0.99844
"SNW_NW11_9040_BSBRJ015_ATV", 13.8, 1,    7954.97,   -0.1,   0.99844, 2,    7954.97, -120.1,   0.99844, 3,    7954.97,  119.9,   0.99844
"SNW_NW11_9315_BSB005", 13.8, 1,    7953.86,   -0.1,    0.9983, 2,    7953.86, -120.1,    0.9983, 3,    7953.86,  119.9,    0.9983
"SNW_NW11_9350_BSB005", 13.8, 1,    7953.86,   -0.1,    0.9983, 2,    7953.86, -120.1,    0.9983, 3,    7953.86,  119.9,    0.9983
"SNW_NW11_9002_BSB006", 13.8, 1,    7955.41,   -0.1,   0.99849, 2,    7955.41, -120.1,   0.99849, 3,    7955.41,  119.9,   0.99849
"SNW_NW11_9141_BSBRJ011_ATV", 13.8, 1,    7955.39,   -0.1,   0.99849, 2,    7955.39, -120.1,   0.99849, 3,    7955.39,  119.9,   0.99849
"SNW_NW11_9144_BSBRJ011_ATV", 13.8, 1,     7955.4,   -0.1,   0.99849, 2,     7955.4, -120.1,   0.99849, 3,     7955.4,  119.9,   0.99849
"SNW_NW11_9140_BSBRJ011_ATV_S", 13.8, 1,    7955.39,   -0.1,   0.99849, 2,    7955.39, -120.1,   0.99849, 3,    7955.39,  119.9,   0.99849
"SNW_NW11_9140_BSBRJ011_ATV", 13.8, 1,    7955.39,   -0.1,   0.99849, 2,    7955.39, -120.1,   0.99849, 3,    7955.39,  119.9,   0.99849
"SNW_NW11_9142_BSBRJ011_ATV", 13.8, 1,    7955.38,   -0.1,   0.99849, 2,    7955.38, -120.1,   0.99849, 3,    7955.38,  119.9,   0.99849
"SNW_NW11_9138_BSBRJ011_ATV", 13.8, 1,    7955.38,   -0.1,   0.99849, 2,    7955.38, -120.1,   0.99849, 3,    7955.38,  119.9,   0.99849
"SNW_NW11_9139_BSBRJ011_ATV", 13.8, 1,    7955.39,   -0.1,   0.99849, 2,    7955.39, -120.1,   0.99849, 3,    7955.39,  119.9,   0.99849
"SNW_NW11_9137_BSBRJ011_ATV", 13.8, 1,    7955.38,   -0.1,   0.99849, 2,    7955.38, -120.1,   0.99849, 3,    7955.38,  119.9,   0.99849
"SNW_NW11_9135_BSBRJ011_ATV_S", 13.8, 1,    7955.38,   -0.1,   0.99849, 2,    7955.38, -120.1,   0.99849, 3,    7955.38,  119.9,   0.99849
"SNW_NW11_9006_BSB005", 13.8, 1,       7955,   -0.1,   0.99844, 2,       7955, -120.1,   0.99844, 3,       7955,  119.9,   0.99844
"SNW_NW11_9007_BSB005", 13.8, 1,    7954.98,   -0.1,   0.99844, 2,    7954.98, -120.1,   0.99844, 3,    7954.98,  119.9,   0.99844
"SNW_NW11_9200_BSB003", 13.8, 1,    7954.91,   -0.1,   0.99843, 2,    7954.91, -120.1,   0.99843, 3,    7954.91,  119.9,   0.99843
"SNW_NW11_9201_BSB003", 13.8, 1,     7954.9,   -0.1,   0.99843, 2,     7954.9, -120.1,   0.99843, 3,     7954.9,  119.9,   0.99843
"SNW_NW11_9202_BSB003", 13.8, 1,     7954.9,   -0.1,   0.99843, 2,     7954.9, -120.1,   0.99843, 3,     7954.9,  119.9,   0.99843
