Posicao_Ranking;CTMT;Quantidade_Transformadores;Potencia_Total_kVA;Potencia_Media_kVA;Potencia_Mediana_kVA;Menor_Transformador_kVA;Maior_Transformador_kVA;Trafos_75_kVA_ou_mais;Trafos_150_kVA_ou_mais;Trafos_300_kVA_ou_mais;Trafos_500_kVA_ou_mais;Trafos_750_kVA_ou_mais;Trafos_1000_kVA_ou_mais;Trechos_na_Regiao;Comprimento_Dentro_km;Trechos_Totais;Comprimento_Total_km;Percentual_Dentro_%;Indice_Industrial_Comparativo
1;BN_03C1;140;183252.0;1308.942857142857;1000.0;509.0;20000.0;140;140;140;140;112;112;6;0.9237557620787662;1250;47.10327447216068;1.961128546646436;524252.0
2;BN_04C2;266;167365.0;629.1917293233083;509.0;5.0;25000.0;207;159;141;139;79;79;5;0.9232706985991229;2516;108.2502210413432;0.8529042155456706;460365.0
3;BN_08C1;516;112562.0;218.14341085271317;75.0;5.0;20000.0;345;196;59;34;9;9;2145;72.29149150322075;3559;127.887342809411;56.52747951058448;200062.0
4;BN_SBC1;880;95299.0;108.29431818181818;45.0;5.0;20000.0;401;70;10;9;3;3;7;0.92001097475027;6284;349.552754040337;0.2631966031210569;147549.0
5;LD_4220;403;55294.0;137.2059553349876;75.0;5.0;12500.0;208;33;9;7;6;6;7;0.9239930400697308;3185;136.4133102925259;0.6773481547279457;96544.0
6;BN_04C1;1;25000.0;25000.0;25000.0;25000.0;25000.0;1;1;1;1;1;1;6;0.9237557620787662;27;4.325625051061762;21.35542843344738;77500.0
7;SW05;75;12497.5;166.63333333333333;112.5;5.0;1000.0;63;25;11;11;1;1;1;0.00332122900588069;451;14.70726968854393;0.02258222685933153;24497.5
8;CD03;54;8765.0;162.3148148148148;75.0;5.0;1000.0;30;17;5;4;4;4;1;0.03543670981111115;616;24.97496972463643;0.1418888999739399;21015.0
9;NW08;92;10165.0;110.48913043478261;112.5;15.0;300.0;67;31;6;0;0;0;501;16.57255243284546;516;17.48342922402295;94.79005646142976;12265.0
10;NW11;51;5905.0;115.7843137254902;75.0;15.0;300.0;42;15;3;0;0;0;421;17.88134356680196;442;19.24244223014556;92.92658048773413;7255.0
11;SW24;16;1793.0;112.0625;45.0;15.0;509.0;7;2;2;2;0;0;92;4.891951708508135;206;9.372162390712644;52.19661700864062;4311.0
12;NW10;13;867.5;66.73076923076923;75.0;5.0;112.5;7;0;0;0;0;0;3;0.07527583361421519;212;8.693517297527903;0.8658846705880565;1092.5
13;NW13;7;270.0;38.57142857142857;45.0;20.0;75.0;1;0;0;0;0;0;138;7.386103400960907;158;8.557644070720832;86.31000938952064;420.0
