Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SCN_CN15_9199_CEI77A_ATV", 13.8, 1,    7941.66,   -0.2,   0.99677, 2,    7941.66, -120.2,   0.99677, 3,    7941.66,  119.8,   0.99677
"SCN_CN15_9153_CEI109", 13.8, 1,    6581.44,   -3.4,   0.82604, 2,    6581.42, -123.4,   0.82604, 3,    6581.43,  116.6,   0.82604
"SCN_CN15_9154_CEI109", 13.8, 1,    6581.46,   -3.4,   0.82604, 2,    6581.44, -123.4,   0.82604, 3,    6581.45,  116.6,   0.82604
"SCN_CN15_9098_CEI131_ATV", 13.8, 1,    6641.26,   -3.2,   0.83355, 2,    6641.25, -123.2,   0.83355, 3,    6641.25,  116.8,   0.83355
"SCN_CN15_9097_CEI131_ATV", 13.8, 1,    6641.26,   -3.2,   0.83355, 2,    6641.25, -123.2,   0.83355, 3,    6641.26,  116.8,   0.83355
"SCN_CN15_9079_CEI201_ATV", 13.8, 1,    6708.21,   -2.9,   0.84195, 2,     6708.2, -122.9,   0.84195, 3,    6708.21,  117.1,   0.84195
"SCN_CN15_9080_CEI201_ATV", 13.8, 1,    6708.21,   -2.9,   0.84195, 2,     6708.2, -122.9,   0.84195, 3,     6708.2,  117.1,   0.84195
"SCN_CN15_9356_CEI109", 13.8, 1,    6561.74,   -3.5,   0.82357, 2,    6561.72, -123.5,   0.82357, 3,    6561.73,  116.5,   0.82357
"SCN_CN15_9349_CEI109", 13.8, 1,    6562.08,   -3.5,   0.82361, 2,    6562.06, -123.5,   0.82361, 3,    6562.07,  116.5,   0.82361
"SCN_CN15_9039_CEI201_ATV", 13.8, 1,    6562.24,   -3.5,   0.82363, 2,    6562.23, -123.5,   0.82363, 3,    6562.23,  116.5,   0.82363
"SCN_CN15_9021_CEI201_ATV", 13.8, 1,    6559.15,   -3.5,   0.82324, 2,    6559.13, -123.5,   0.82324, 3,    6559.14,  116.5,   0.82324
"SCN_CN15_9022_CEI201_ATV", 13.8, 1,    6559.28,   -3.5,   0.82326, 2,    6559.27, -123.5,   0.82326, 3,    6559.27,  116.5,   0.82326
"SCN_CN15_9274_CEI109", 13.8, 1,    6610.41,   -3.3,   0.82968, 2,     6610.4, -123.3,   0.82968, 3,     6610.4,  116.7,   0.82968
"SCN_CN15_9275_CEI109", 13.8, 1,    6609.46,   -3.3,   0.82956, 2,    6609.44, -123.3,   0.82956, 3,    6609.45,  116.7,   0.82956
"SCN_CN15_9269_CEI109", 13.8, 1,    6611.36,   -3.3,    0.8298, 2,    6611.34, -123.3,    0.8298, 3,    6611.35,  116.7,    0.8298
"SCN_CN15_9053_CEI201_ATV", 13.8, 1,    6563.76,   -3.5,   0.82382, 2,    6563.75, -123.5,   0.82382, 3,    6563.75,  116.5,   0.82382
"SCN_CN15_9485_CEI109", 13.8, 1,    6563.77,   -3.5,   0.82383, 2,    6563.76, -123.5,   0.82382, 3,    6563.77,  116.5,   0.82382
"SCN_CN15_421165_CEI", 13.8, 1,    6717.03,   -2.9,   0.84306, 2,    6717.02, -122.9,   0.84306, 3,    6717.02,  117.1,   0.84306
"SCN_CN15_421166_CEI", 13.8, 1,    6717.52,   -2.9,   0.84312, 2,    6717.51, -122.9,   0.84312, 3,    6717.51,  117.1,   0.84312
"SCN_CN15_9143_CEI69B", 13.8, 1,    6717.95,   -2.9,   0.84318, 2,    6717.94, -122.9,   0.84317, 3,    6717.94,  117.1,   0.84318
"SCN_CN15_9141_CEI201_ATV", 13.8, 1,    6717.03,   -2.9,   0.84306, 2,    6717.02, -122.9,   0.84306, 3,    6717.02,  117.1,   0.84306
"SCN_CN15_9129_CEI201_ATV", 13.8, 1,    6721.46,   -2.8,   0.84362, 2,    6721.45, -122.8,   0.84362, 3,    6721.45,  117.2,   0.84362
"SCN_CN15_9008_CEI220_ATV", 13.8, 1,    6721.46,   -2.8,   0.84362, 2,    6721.45, -122.8,   0.84362, 3,    6721.45,  117.2,   0.84362
"SCN_CN15_421168_CEI", 13.8, 1,    6636.11,   -3.2,    0.8329, 2,    6636.09, -123.2,    0.8329, 3,     6636.1,  116.8,    0.8329
"SCN_CN15_9015_CEI109", 13.8, 1,    6636.11,   -3.2,    0.8329, 2,    6636.09, -123.2,    0.8329, 3,     6636.1,  116.8,    0.8329
"SCN_CN15_421185_CEI", 13.8, 1,    6660.34,   -3.1,   0.83595, 2,    6660.32, -123.1,   0.83594, 3,    6660.33,  116.9,   0.83594
"SCN_CN15_9162_CEI220_ATV_S", 13.8, 1,    6659.08,   -3.1,   0.83579, 2,    6659.07, -123.1,   0.83579, 3,    6659.08,  116.9,   0.83579
"SCN_CN15_421186_CEI", 13.8, 1,    6661.28,   -3.1,   0.83606, 2,    6661.26, -123.1,   0.83606, 3,    6661.27,  116.9,   0.83606
"SCN_CN15_421187_CEI", 13.8, 1,    6662.37,   -3.1,    0.8362, 2,    6662.36, -123.1,    0.8362, 3,    6662.37,  116.9,    0.8362
"SCN_CN15_421169_CEI", 13.8, 1,    6663.94,   -3.1,    0.8364, 2,    6663.92, -123.1,    0.8364, 3,    6663.93,  116.9,    0.8364
"SCN_CN15_9012_CEI120", 13.8, 1,    6663.02,   -3.1,   0.83628, 2,       6663, -123.1,   0.83628, 3,    6663.01,  116.9,   0.83628
"SCN_CN15_421170_CEI", 13.8, 1,    6671.24,   -3.1,   0.83731, 2,    6671.23, -123.1,   0.83731, 3,    6671.24,  116.9,   0.83731
"SCN_CN15_421171_CEI", 13.8, 1,    6671.24,   -3.1,   0.83731, 2,    6671.23, -123.1,   0.83731, 3,    6671.24,  116.9,   0.83731
"SCN_CN15_421172_CEI", 13.8, 1,    6671.24,   -3.1,   0.83731, 2,    6671.23, -123.1,   0.83731, 3,    6671.24,  116.9,   0.83731
