Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,     263.02,   153.88,    263.025,    33.88,    263.023,   -86.12,          0,     0.00, 0.00686186,   -18.27,     263.02,   -26.12,    263.025,  -146.12,    263.023,    93.88,          0,     0.00, 0.00686186,   161.73
Line.L_CEI_MT_5070,   0.644363,   153.73,    0.64433,    33.73,   0.644364,   -86.28,          0,     0.00, 7.11242E-005,  -172.85,   0.644363,   -26.27,    0.64433,  -146.27,   0.644364,    93.72,          0,     0.00, 7.11241E-005,     7.15
Line.L_CEI_MT_15536,   0.189254,   153.86,   0.189254,    33.86,   0.189254,   -86.14,          0,     0.00, 7.56057E-007,  -162.56,   0.189254,   -26.14,   0.189254,  -146.14,   0.189254,    93.86,          0,     0.00, 7.55884E-007,    17.47
Line.L_CEI_MT_15882A,   0.192908,   -26.05,   0.192907,  -146.05,   0.192907,    93.95,          0,     0.00, 7.41477E-007,    16.65,   0.192908,   153.95,   0.192907,    33.95,   0.192907,   -86.05,          0,     0.00, 7.41693E-007,  -163.38
Line.L_CEI_MT_16214A,    10.9392,   153.68,    10.9391,    33.68,    10.9392,   -86.32,          0,     0.00, 0.000165496,  -126.23,    10.9392,   -26.32,    10.9391,  -146.32,    10.9392,    93.68,          0,     0.00, 0.000165496,    53.78
Line.L_CEI_MT_16214A99,    10.9392,   -26.32,     10.939,  -146.32,    10.9392,    93.68,          0,     0.00, 0.000180632,    40.61,    10.9392,   153.68,     10.939,    33.68,    10.9392,   -86.32,          0,     0.00, 0.000180632,  -139.39
Line.L_CEI_MT_16434A,    6.83471,   153.68,     6.8346,    33.68,    6.83477,   -86.32,          0,     0.00, 0.000150563,  -122.12,    6.83471,   -26.32,     6.8346,  -146.32,    6.83477,    93.68,          0,     0.00, 0.000150564,    57.88
Line.L_CEI_MT_171819,     50.309,   -26.30,    50.3099,  -146.30,    50.3096,    93.70,          0,     0.00, 0.00152015,   156.24,     50.309,   153.70,    50.3099,    33.70,    50.3096,   -86.30,          0,     0.00, 0.00152015,   -23.76
Line.L_CEI_MT_171820,     50.309,   -26.30,    50.3099,  -146.30,    50.3096,    93.70,          0,     0.00, 0.00152015,   156.24,     50.309,   153.70,    50.3099,    33.70,    50.3096,   -86.30,          0,     0.00, 0.00152015,   -23.76
Line.L_CEI_MT_171828,   0.274039,   153.69,   0.274037,    33.69,   0.274038,   -86.31,          0,     0.00, 1.25604E-006,  -161.17,   0.274039,   -26.31,   0.274037,  -146.31,   0.274038,    93.69,          0,     0.00, 1.2556E-006,    18.87
Line.L_CEI_MT_171838,    11.9665,   153.96,    11.9666,    33.96,    11.9665,   -86.04,          0,     0.00, 0.000227138,  -128.17,    11.9665,   -26.04,    11.9666,  -146.04,    11.9665,    93.96,          0,     0.00, 0.000227138,    51.83
Line.L_CEI_MT_171839,    12.5471,   153.96,    12.5473,    33.96,    12.5471,   -86.04,          0,     0.00, 0.000228969,  -128.49,    12.5471,   -26.04,    12.5473,  -146.04,    12.5471,    93.96,          0,     0.00, 0.00022897,    51.51
Line.L_CEI_MT_171841, 3.70753E-010,   132.61, 3.8086E-010,   133.45, 3.8086E-010,   136.55,          0,     0.00, 1.13198E-009,   134.22, 1.49998E-011,   104.04, 2.12129E-011,    30.96, 2.93303E-011,    29.74,          0,     0.00, 5.65937E-011,    45.00
Line.L_CEI_MT_171843, 5.24677E-011,  -146.31, 6.50781E-011,   116.57, 8.23181E-011,   135.00,          0,     0.00, 1.57403E-010,   146.31, 8.85158E-011,    99.46, 2.91038E-011,   180.00, 8.23181E-011,   135.00,          0,     0.00, 1.77629E-010,   124.99
Line.L_CEI_MT_171854, 2.91038E-011,   180.00, 2.62338E-011,  -123.69, 2.91038E-011,   -90.00,          0,     0.00, 6.7081E-011,  -130.60, 2.36888E-010,   132.51, 2.62842E-010,   131.63, 2.46954E-010,   135.00,          0,     0.00, 7.46451E-010,   133.03
Line.L_CEI_MT_171863,    58.3879,   -26.28,     58.389,  -146.28,    58.3889,    93.72,          0,     0.00, 0.00168447,   154.52,    58.3879,   153.72,     58.389,    33.72,    58.3889,   -86.28,          0,     0.00, 0.00168447,   -25.48
Line.L_CEI_MT_171864,    58.3879,   153.72,     58.389,    33.72,    58.3889,   -86.28,          0,     0.00, 0.00168447,   -25.48,    58.3879,   -26.28,     58.389,  -146.28,    58.3889,    93.72,          0,     0.00, 0.00168447,   154.52
