Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"CN_ALCN15", 13.8, 1,    7946.95,   -0.2,   0.99743, 2,    7946.94, -120.2,   0.99743, 3,    7946.94,  119.8,   0.99743
"SCN_CN15_9153_CEI109", 13.8, 1,    6905.58,   -0.4,   0.86673, 2,    6905.57, -120.4,   0.86672, 3,    6905.58,  119.6,   0.86673
"SCN_CN15_9154_CEI109", 13.8, 1,    6905.62,   -0.4,   0.86673, 2,     6905.6, -120.4,   0.86673, 3,    6905.61,  119.6,   0.86673
"SCN_CN15_9098_CEI131_ATV", 13.8, 1,    7128.57,   -0.7,   0.89471, 2,    7128.56, -120.7,   0.89471, 3,    7128.57,  119.3,   0.89471
"SCN_CN15_9097_CEI131_ATV", 13.8, 1,    7128.59,   -0.7,   0.89472, 2,    7128.57, -120.7,   0.89471, 3,    7128.58,  119.3,   0.89472
"SCN_CN15_9079_CEI201_ATV", 13.8, 1,    7439.93,   -1.2,   0.93379, 2,    7439.92, -121.2,   0.93379, 3,    7439.93,  118.8,   0.93379
"SCN_CN15_9080_CEI201_ATV", 13.8, 1,    7439.91,   -1.2,   0.93379, 2,    7439.91, -121.2,   0.93379, 3,    7439.91,  118.8,   0.93379
"SCN_CN15_9356_CEI109", 13.8, 1,    6845.41,   -0.4,   0.85917, 2,     6845.4, -120.4,   0.85917, 3,    6845.41,  119.6,   0.85917
"SCN_CN15_9349_CEI109", 13.8, 1,    6846.46,   -0.4,   0.85931, 2,    6846.44, -120.4,    0.8593, 3,    6846.45,  119.6,    0.8593
"SCN_CN15_9039_CEI201_ATV", 13.8, 1,    6846.96,   -0.4,   0.85937, 2,    6846.94, -120.4,   0.85937, 3,    6846.95,  119.6,   0.85937
"SCN_CN15_9021_CEI201_ATV", 13.8, 1,    6837.51,   -0.4,   0.85818, 2,    6837.49, -120.4,   0.85818, 3,     6837.5,  119.6,   0.85818
"SCN_CN15_9022_CEI201_ATV", 13.8, 1,    6837.93,   -0.4,   0.85823, 2,    6837.91, -120.4,   0.85823, 3,    6837.92,  119.6,   0.85823
"SCN_CN15_9274_CEI109", 13.8, 1,    6994.14,   -0.5,   0.87784, 2,    6994.13, -120.5,   0.87784, 3,    6994.13,  119.5,   0.87784
"SCN_CN15_9275_CEI109", 13.8, 1,    6991.22,   -0.5,   0.87747, 2,     6991.2, -120.5,   0.87747, 3,    6991.21,  119.5,   0.87747
"SCN_CN15_9269_CEI109", 13.8, 1,    6997.04,   -0.5,    0.8782, 2,    6997.02, -120.5,    0.8782, 3,    6997.03,  119.5,    0.8782
"SCN_CN15_9053_CEI201_ATV", 13.8, 1,    6851.59,   -0.4,   0.85995, 2,    6851.57, -120.4,   0.85995, 3,    6851.58,  119.6,   0.85995
"SCN_CN15_9485_CEI109", 13.8, 1,    6851.63,   -0.4,   0.85996, 2,    6851.62, -120.4,   0.85995, 3,    6851.63,  119.6,   0.85995
"SCN_CN15_421165_CEI", 13.8, 1,    7454.82,   -1.2,   0.93566, 2,    7454.81, -121.2,   0.93566, 3,    7454.82,  118.8,   0.93566
"SCN_CN15_421166_CEI", 13.8, 1,    7455.41,   -1.2,   0.93574, 2,    7455.41, -121.2,   0.93573, 3,    7455.41,  118.8,   0.93574
"SCN_CN15_9143_CEI69B", 13.8, 1,    7455.94,   -1.2,    0.9358, 2,    7455.93, -121.2,    0.9358, 3,    7455.93,  118.8,    0.9358
"SCN_CN15_9141_CEI201_ATV", 13.8, 1,    7454.82,   -1.2,   0.93566, 2,    7454.81, -121.2,   0.93566, 3,    7454.82,  118.8,   0.93566
"SCN_CN15_9129_CEI201_ATV", 13.8, 1,    7453.18,   -1.2,   0.93546, 2,    7453.17, -121.2,   0.93545, 3,    7453.18,  118.8,   0.93546
"SCN_CN15_9008_CEI220_ATV", 13.8, 1,    7453.18,   -1.2,   0.93546, 2,    7453.17, -121.2,   0.93545, 3,    7453.18,  118.8,   0.93546
"SCN_CN15_421168_CEI", 13.8, 1,    7072.76,   -0.6,   0.88771, 2,    7072.75, -120.6,   0.88771, 3,    7072.76,  119.4,   0.88771
"SCN_CN15_9015_CEI109", 13.8, 1,    7072.76,   -0.6,   0.88771, 2,    7072.75, -120.6,   0.88771, 3,    7072.76,  119.4,   0.88771
"SCN_CN15_421185_CEI", 13.8, 1,    7147.03,   -0.7,   0.89703, 2,    7147.02, -120.7,   0.89703, 3,    7147.03,  119.3,   0.89703
"SCN_CN15_9162_CEI220_ATV_S", 13.8, 1,    7143.19,   -0.7,   0.89655, 2,    7143.18, -120.7,   0.89655, 3,    7143.18,  119.3,   0.89655
"SCN_CN15_421186_CEI", 13.8, 1,    7149.91,   -0.7,   0.89739, 2,     7149.9, -120.7,   0.89739, 3,     7149.9,  119.3,   0.89739
"SCN_CN15_421187_CEI", 13.8, 1,    7153.27,   -0.7,   0.89781, 2,    7153.26, -120.7,   0.89781, 3,    7153.27,  119.3,   0.89781
"SCN_CN15_421169_CEI", 13.8, 1,    7158.06,   -0.7,   0.89841, 2,    7158.05, -120.7,   0.89841, 3,    7158.06,  119.3,   0.89841
"SCN_CN15_9012_CEI120", 13.8, 1,    7155.17,   -0.7,   0.89805, 2,    7155.15, -120.7,   0.89805, 3,    7155.16,  119.3,   0.89805
"SCN_CN15_421170_CEI", 13.8, 1,    7180.64,   -0.7,   0.90125, 2,    7180.63, -120.7,   0.90125, 3,    7180.64,  119.3,   0.90125
"SCN_CN15_421171_CEI", 13.8, 1,    7180.64,   -0.7,   0.90125, 2,    7180.63, -120.7,   0.90125, 3,    7180.64,  119.3,   0.90125
"SCN_CN15_421172_CEI", 13.8, 1,    7180.64,   -0.7,   0.90125, 2,    7180.63, -120.7,   0.90125, 3,    7180.64,  119.3,   0.90125
"SCN_CN15_421173_CEI", 13.8, 1,    7180.64,   -0.7,   0.90125, 2,    7180.63, -120.7,   0.90125, 3,    7180.64,  119.3,   0.90125
"SCN_CN15_421174_CEI", 13.8, 1,    7180.64,   -0.7,   0.90125, 2,    7180.63, -120.7,   0.90125, 3,    7180.64,  119.3,   0.90125
"SCN_CN15_421175_CEI", 13.8, 1,    7200.32,   -0.8,   0.90372, 2,    7200.31, -120.8,   0.90372, 3,    7200.32,  119.2,   0.90372
"SCN_CN15_421176_CEI", 13.8, 1,    7200.32,   -0.8,   0.90372, 2,    7200.31, -120.8,   0.90372, 3,    7200.32,  119.2,   0.90372
"SCN_CN15_421177_CEI", 13.8, 1,    7200.32,   -0.8,   0.90372, 2,    7200.31, -120.8,   0.90372, 3,    7200.32,  119.2,   0.90372
"SCN_CN15_421178_CEI", 13.8, 1,    7200.32,   -0.8,   0.90372, 2,    7200.31, -120.8,   0.90372, 3,    7200.32,  119.2,   0.90372
"SCN_CN15_421179_CEI", 13.8, 1,       7242,   -0.8,   0.90895, 2,    7241.98, -120.8,   0.90895, 3,    7241.99,  119.2,   0.90895
"SCN_CN15_9047_CEI130_ATV", 13.8, 1,    7300.11,   -0.9,   0.91624, 2,     7300.1, -120.9,   0.91624, 3,    7300.11,  119.1,   0.91624
"SCN_CN15_421180_CEI", 13.8, 1,    7300.11,   -0.9,   0.91624, 2,     7300.1, -120.9,   0.91624, 3,    7300.11,  119.1,   0.91624
"SCN_CN15_9037_CEI130_ATV", 13.8, 1,    7400.04,   -1.0,   0.92879, 2,    7400.03, -121.0,   0.92878, 3,    7400.04,  119.0,   0.92879
"SCN_CN15_9047_CEI130_ATV_S", 13.8, 1,    7300.11,   -0.9,   0.91624, 2,     7300.1, -120.9,   0.91624, 3,    7300.11,  119.1,   0.91624
"SCN_CN15_421181_CEI", 13.8, 1,    7421.33,   -1.0,   0.93146, 2,    7421.32, -121.0,   0.93146, 3,    7421.33,  119.0,   0.93146
"SCN_CN15_9040_CEI130_ATV", 13.8, 1,    7421.33,   -1.0,   0.93146, 2,    7421.32, -121.0,   0.93146, 3,    7421.33,  119.0,   0.93146
"SCN_CN15_421182_CEI", 13.8, 1,    7421.33,   -1.0,   0.93146, 2,    7421.32, -121.0,   0.93146, 3,    7421.33,  119.0,   0.93146
"SCN_CN15_421183_CEI", 13.8, 1,    7421.33,   -1.0,   0.93146, 2,    7421.32, -121.0,   0.93146, 3,    7421.33,  119.0,   0.93146
"SCN_CN15_421184_CEI", 13.8, 1,    7421.33,   -1.0,   0.93146, 2,    7421.32, -121.0,   0.93146, 3,    7421.33,  119.0,   0.93146
"SCN_CN15_421195_CEI", 13.8, 1,    7515.88,   -1.1,   0.94333, 2,    7515.87, -121.1,   0.94332, 3,    7515.88,  118.9,   0.94332
"SCN_CN15_9022_CEI250_ATV", 13.8, 1,     7512.8,   -1.1,   0.94294, 2,    7512.79, -121.1,   0.94294, 3,     7512.8,  118.9,   0.94294
"SCN_CN15_421196_CEI", 13.8, 1,    7520.24,   -1.1,   0.94387, 2,    7520.23, -121.1,   0.94387, 3,    7520.23,  118.9,   0.94387
"SCN_CN15_9025_CEI130_ATV", 13.8, 1,     7523.8,   -1.1,   0.94432, 2,     7523.8, -121.1,   0.94432, 3,     7523.8,  118.9,   0.94432
"SCN_CN15_421197_CEI", 13.8, 1,     7299.4,   -0.9,   0.91615, 2,    7299.39, -120.9,   0.91615, 3,    7299.39,  119.1,   0.91615
"SCN_CN15_9004_CEI160_ATV", 13.8, 1,     7299.4,   -0.9,   0.91615, 2,    7299.39, -120.9,   0.91615, 3,    7299.39,  119.1,   0.91615
"SCN_CN15_9005_CEI160_ATV", 13.8, 1,     7299.4,   -0.9,   0.91615, 2,    7299.39, -120.9,   0.91615, 3,    7299.39,  119.1,   0.91615
"SCN_CN15_9017_CEI130A_ATV", 13.8, 1,    7693.85,   -0.9,   0.96566, 2,    7693.84, -120.9,   0.96566, 3,    7693.84,  119.1,   0.96566
"SCN_CN15_421206_CEI", 13.8, 1,    7693.85,   -0.9,   0.96566, 2,    7693.84, -120.9,   0.96566, 3,    7693.84,  119.1,   0.96566
"SCN_CN15_9034_CEI130A_ATV", 13.8, 1,    7691.05,   -0.9,   0.96531, 2,    7691.04, -120.9,   0.96531, 3,    7691.05,  119.1,   0.96531
"SCN_CN15_421207_CEI", 13.8, 1,    7691.05,   -0.9,   0.96531, 2,    7691.04, -120.9,   0.96531, 3,    7691.05,  119.1,   0.96531
"SCN_CN15_421208_CEI", 13.8, 1,    7691.05,   -0.9,   0.96531, 2,    7691.04, -120.9,   0.96531, 3,    7691.05,  119.1,   0.96531
"SCN_CN15_421209_CEI", 13.8, 1,    7691.05,   -0.9,   0.96531, 2,    7691.04, -120.9,   0.96531, 3,    7691.05,  119.1,   0.96531
"SCN_CN15_421210_CEI", 13.8, 1,    7691.05,   -0.9,   0.96531, 2,    7691.04, -120.9,   0.96531, 3,    7691.05,  119.1,   0.96531
"SCN_CN15_421211_CEI", 13.8, 1,    7691.05,   -0.9,   0.96531, 2,    7691.04, -120.9,   0.96531, 3,    7691.05,  119.1,   0.96531
"SCN_CN15_421212_CEI", 13.8, 1,    7691.05,   -0.9,   0.96531, 2,    7691.04, -120.9,   0.96531, 3,    7691.05,  119.1,   0.96531
"SCN_CN15_9040_CEI130A_ATV", 13.8, 1,    7690.83,   -0.9,   0.96528, 2,    7690.83, -120.9,   0.96528, 3,    7690.83,  119.1,   0.96528
"SCN_CN15_421213_CEI", 13.8, 1,    7690.83,   -0.9,   0.96528, 2,    7690.83, -120.9,   0.96528, 3,    7690.83,  119.1,   0.96528
"SCN_CN15_421218_CEI", 13.8, 1,    7943.27,   -0.2,   0.99697, 2,    7943.27, -120.2,   0.99697, 3,    7943.27,  119.8,   0.99697
"SCN_CN15_9353_CEI065", 13.8, 1,    7941.88,   -0.2,   0.99679, 2,    7941.88, -120.2,   0.99679, 3,    7941.88,  119.8,   0.99679
"SCN_CN15_421219_CEI", 13.8, 1,    7944.73,   -0.2,   0.99715, 2,    7944.73, -120.2,   0.99715, 3,    7944.73,  119.8,   0.99715
"SCN_CN15_421227_CEI", 13.8, 1,    7316.57,   -1.1,   0.91831, 2,    7316.56, -121.1,   0.91831, 3,    7316.56,  118.9,   0.91831
"SCN_CN15_9006_CEIRJ013_ATV", 13.8, 1,    7316.57,   -1.1,   0.91831, 2,    7316.56, -121.1,   0.91831, 3,    7316.56,  118.9,   0.91831
"SCN_CN15_9067_CEIRJ006_ATV", 13.8, 1,    7323.85,   -1.1,   0.91922, 2,    7323.84, -121.1,   0.91922, 3,    7323.84,  118.9,   0.91922
"SCN_CN15_9064_CEIRJ006_ATV", 13.8, 1,    7323.85,   -1.1,   0.91922, 2,    7323.84, -121.1,   0.91922, 3,    7323.84,  118.9,   0.91922
"SCN_CN15_421241_CEI", 13.8, 1,    7323.85,   -1.1,   0.91922, 2,    7323.84, -121.1,   0.91922, 3,    7323.84,  118.9,   0.91922
"SCN_CN15_9068_CEIRJ006_ATV", 13.8, 1,    7323.85,   -1.1,   0.91922, 2,    7323.84, -121.1,   0.91922, 3,    7323.84,  118.9,   0.91922
"SCN_CN15_9050_CEI160_ATV", 13.8, 1,    7571.95,   -1.1,   0.95036, 2,    7571.94, -121.1,   0.95036, 3,    7571.95,  118.9,   0.95036
"SCN_CN15_9014_CEI077_ATV", 13.8, 1,    7572.31,   -1.1,   0.95041, 2,     7572.3, -121.1,   0.95041, 3,    7572.31,  118.9,   0.95041
"SCN_CN15_9052_CEI160_ATV", 13.8, 1,    7571.95,   -1.1,   0.95036, 2,    7571.94, -121.1,   0.95036, 3,    7571.95,  118.9,   0.95036
"SCN_CN15_421244_CEI", 13.8, 1,    7571.61,   -1.1,   0.95032, 2,     7571.6, -121.1,   0.95032, 3,     7571.6,  118.9,   0.95032
"SCN_CN15_421245_CEI", 13.8, 1,    7571.25,   -1.1,   0.95028, 2,    7571.25, -121.1,   0.95027, 3,    7571.25,  118.9,   0.95027
"SCN_CN15_9005_CEIRJ012_ATV_S", 13.8, 1,    7570.91,   -1.1,   0.95023, 2,    7570.91, -121.1,   0.95023, 3,    7570.91,  118.9,   0.95023
"SCN_CN15_9024_CEI167_ATV", 13.8, 1,    7526.62,   -1.1,   0.94467, 2,    7526.62, -121.1,   0.94467, 3,    7526.62,  118.9,   0.94467
"SCN_CN15_9025_CEI167_ATV", 13.8, 1,    7526.62,   -1.1,   0.94467, 2,    7526.62, -121.1,   0.94467, 3,    7526.62,  118.9,   0.94467
"SCN_CN15_9002_CEIRJ013_ATV", 13.8, 1,    7526.62,   -1.1,   0.94467, 2,    7526.62, -121.1,   0.94467, 3,    7526.62,  118.9,   0.94467
"SCN_CN15_9037_CEI77A_ATV", 13.8, 1,    7529.67,   -1.1,   0.94506, 2,    7529.66, -121.1,   0.94506, 3,    7529.67,  118.9,   0.94506
"SCN_CN15_9035_CEIRJ006_ATV", 13.8, 1,    7529.67,   -1.1,   0.94506, 2,    7529.66, -121.1,   0.94506, 3,    7529.67,  118.9,   0.94506
"SCN_CN15_9036_CEIRJ006_ATV", 13.8, 1,    7529.67,   -1.1,   0.94506, 2,    7529.66, -121.1,   0.94506, 3,    7529.67,  118.9,   0.94506
"SCN_CN15_9105_CEI201_ATV", 13.8, 1,    7437.95,   -1.2,   0.93354, 2,    7437.94, -121.2,   0.93354, 3,    7437.95,  118.8,   0.93354
"SCN_CN15_9102_CEI201_ATV_S", 13.8, 1,    7437.84,   -1.2,   0.93353, 2,    7437.83, -121.2,   0.93353, 3,    7437.84,  118.8,   0.93353
"SCN_CN15_9017_CEI201_ATV", 13.8, 1,    6836.11,   -0.4,   0.85801, 2,     6836.1, -120.4,     0.858, 3,    6836.11,  119.6,   0.85801
"SCN_CN15_9019_CEI201_ATV", 13.8, 1,    6836.41,   -0.4,   0.85804, 2,    6836.39, -120.4,   0.85804, 3,     6836.4,  119.6,   0.85804
"SCN_CN15_9019_CEI134C_ATV", 13.8, 1,    7048.35,   -0.7,   0.88464, 2,    7048.33, -120.7,   0.88464, 3,    7048.34,  119.3,   0.88464
"SCN_CN15_9020_CEI134C_ATV", 13.8, 1,     7048.3,   -0.7,   0.88464, 2,    7048.28, -120.7,   0.88464, 3,    7048.29,  119.3,   0.88464
"SCN_CN15_9022_CEI134C_ATV", 13.8, 1,    7047.86,   -0.7,   0.88458, 2,    7047.84, -120.7,   0.88458, 3,    7047.85,  119.3,   0.88458
"SCN_CN15_9021_CEI134C_ATV", 13.8, 1,    7047.75,   -0.7,   0.88457, 2,    7047.73, -120.7,   0.88457, 3,    7047.75,  119.3,   0.88457
"SCN_CN15_9023_CEI134C_ATV", 13.8, 1,    7047.67,   -0.7,   0.88456, 2,    7047.66, -120.7,   0.88456, 3,    7047.67,  119.3,   0.88456
"SCN_CN15_9034_CEI134C_ATV", 13.8, 1,    7047.55,   -0.7,   0.88454, 2,    7047.54, -120.7,   0.88454, 3,    7047.55,  119.3,   0.88454
"SCN_CN15_9035_CEI134C_ATV", 13.8, 1,    7047.44,   -0.7,   0.88453, 2,    7047.42, -120.7,   0.88453, 3,    7047.44,  119.3,   0.88453
"SCN_CN15_9036_CEI134C_ATV", 13.8, 1,    7047.35,   -0.7,   0.88452, 2,    7047.34, -120.7,   0.88452, 3,    7047.35,  119.3,   0.88452
"SCN_CN15_9024_CEI134B_ATV", 13.8, 1,    7055.93,   -0.7,    0.8856, 2,    7055.91, -120.7,   0.88559, 3,    7055.92,  119.3,    0.8856
"SCN_CN15_9027_CEI134B_ATV", 13.8, 1,    7055.86,   -0.7,   0.88559, 2,    7055.85, -120.7,   0.88559, 3,    7055.86,  119.3,   0.88559
"SCN_CN15_9026_CEI134B_ATV", 13.8, 1,    7055.83,   -0.7,   0.88558, 2,    7055.81, -120.7,   0.88558, 3,    7055.83,  119.3,   0.88558
"SCN_CN15_9028_CEI134B_ATV", 13.8, 1,     7055.8,   -0.7,   0.88558, 2,    7055.78, -120.7,   0.88558, 3,     7055.8,  119.3,   0.88558
"SCN_CN15_9011_CEI134_ATV", 13.8, 1,    7093.93,   -0.8,   0.89037, 2,    7093.92, -120.8,   0.89036, 3,    7093.93,  119.2,   0.89037
"SCN_CN15_9009_CEI134A_ATV", 13.8, 1,    7092.23,   -0.8,   0.89015, 2,    7092.21, -120.8,   0.89015, 3,    7092.22,  119.2,   0.89015
"SCN_CN15_9002_CEI134_ATV", 13.8, 1,     7098.1,   -0.8,   0.89089, 2,    7098.09, -120.8,   0.89089, 3,     7098.1,  119.2,   0.89089
"SCN_CN15_9003_CEI134_ATV", 13.8, 1,    7098.16,   -0.8,    0.8909, 2,    7098.14, -120.8,   0.89089, 3,    7098.15,  119.2,    0.8909
"SCN_CN15_9101_CEI109", 13.8, 1,    7099.96,   -0.8,   0.89112, 2,    7099.94, -120.8,   0.89112, 3,    7099.95,  119.2,   0.89112
"SCN_CN15_9102_CEI109", 13.8, 1,    7099.87,   -0.8,   0.89111, 2,    7099.86, -120.8,   0.89111, 3,    7099.87,  119.2,   0.89111
"SCN_CN15_9103_CEI109", 13.8, 1,     7099.8,   -0.8,    0.8911, 2,    7099.79, -120.8,    0.8911, 3,     7099.8,  119.2,    0.8911
"SCN_CN15_9104_CEI109", 13.8, 1,    7099.74,   -0.8,   0.89109, 2,    7099.72, -120.8,   0.89109, 3,    7099.73,  119.2,   0.89109
"SCN_CN15_9105_CEI109", 13.8, 1,    7099.67,   -0.8,   0.89109, 2,    7099.66, -120.8,   0.89108, 3,    7099.67,  119.2,   0.89109
"SCN_CN15_9106_CEI109", 13.8, 1,    7099.61,   -0.8,   0.89108, 2,     7099.6, -120.8,   0.89108, 3,    7099.61,  119.2,   0.89108
"SCN_CN15_9108_CEI109", 13.8, 1,    7099.54,   -0.8,   0.89107, 2,    7099.53, -120.8,   0.89107, 3,    7099.54,  119.2,   0.89107
"SCN_CN15_9109_CEI109", 13.8, 1,    7099.47,   -0.8,   0.89106, 2,    7099.46, -120.8,   0.89106, 3,    7099.47,  119.2,   0.89106
"SCN_CN15_9110_CEI109", 13.8, 1,    7099.41,   -0.8,   0.89105, 2,    7099.39, -120.8,   0.89105, 3,     7099.4,  119.2,   0.89105
"SCN_CN15_9111_CEI109", 13.8, 1,    7099.34,   -0.8,   0.89104, 2,    7099.32, -120.8,   0.89104, 3,    7099.33,  119.2,   0.89104
"SCN_CN15_9112_CEI109", 13.8, 1,    7099.31,   -0.8,   0.89104, 2,    7099.29, -120.8,   0.89104, 3,     7099.3,  119.2,   0.89104
"SCN_CN15_9113_CEI109", 13.8, 1,    7099.25,   -0.8,   0.89103, 2,    7099.24, -120.8,   0.89103, 3,    7099.25,  119.2,   0.89103
"SCN_CN15_9114_CEI109", 13.8, 1,    7099.19,   -0.8,   0.89103, 2,    7099.17, -120.8,   0.89102, 3,    7099.19,  119.2,   0.89103
"SCN_CN15_9115_CEI109", 13.8, 1,    7099.07,   -0.8,   0.89101, 2,    7099.06, -120.8,   0.89101, 3,    7099.07,  119.2,   0.89101
"SCN_CN15_9116_CEI109", 13.8, 1,    7099.02,   -0.8,     0.891, 2,       7099, -120.8,     0.891, 3,    7099.01,  119.2,     0.891
"SCN_CN15_9010_CEI120", 13.8, 1,    7153.24,   -0.7,   0.89781, 2,    7153.23, -120.7,   0.89781, 3,    7153.24,  119.3,   0.89781
"SCN_CN15_9011_CEI120", 13.8, 1,    7154.79,   -0.7,     0.898, 2,    7154.77, -120.7,     0.898, 3,    7154.78,  119.3,     0.898
"SCN_CN15_9045_CEI130_ATV", 13.8, 1,     7299.9,   -0.9,   0.91622, 2,    7299.89, -120.9,   0.91622, 3,     7299.9,  119.1,   0.91622
"SCN_CN15_9044_CEI130_ATV", 13.8, 1,    7299.88,   -0.9,   0.91622, 2,    7299.87, -120.9,   0.91621, 3,    7299.88,  119.1,   0.91621
"SCN_CN15_9043_CEI130_ATV", 13.8, 1,    7299.73,   -0.9,    0.9162, 2,    7299.72, -120.9,   0.91619, 3,    7299.73,  119.1,    0.9162
