Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    1937.46,   139.43,    1937.46,    19.43,    1937.46,  -100.57,          0,     0.00, 0.000519796,   160.98,    1937.46,   -40.57,    1937.46,  -160.57,    1937.46,    79.43,          0,     0.00, 0.000519796,   -19.02
Line.L_CEI_MT_5070,    1401.54,   -41.67,    1401.54,  -161.67,    1401.54,    78.33,          0,     0.00, 0.000516834,   -18.91,    1401.54,   138.33,    1401.54,    18.33,    1401.54,  -101.67,          0,     0.00, 0.000516834,   161.09
Line.L_CEI_MT_15536,    1.05904,   138.30,    1.05904,    18.30,    1.05904,  -101.70,          0,     0.00, 4.24876E-009,     9.46,    1.05904,   -41.70,    1.05904,  -161.70,    1.05904,    78.30,          0,     0.00, 5.53432E-009,  -157.75
Line.L_CEI_MT_15882A,    1.05752,   -41.68,    1.05752,  -161.68,    1.05752,    78.32,          0,     0.00, 5.75991E-009,  -165.96,    1.05752,   138.32,    1.05752,    18.32,    1.05752,  -101.68,          0,     0.00, 7.46512E-009,    -3.58
Line.L_CEI_MT_16214A,    63.5003,   138.31,    63.5003,    18.31,    63.5003,  -101.69,          0,     0.00, 1.65251E-006,    19.02,    63.5003,   -41.69,    63.5003,  -161.69,    63.5003,    78.31,          0,     0.00, 1.65456E-006,  -161.02
Line.L_CEI_MT_16214A99,    63.5003,   -41.69,    63.5003,  -161.69,    63.5003,    78.31,          0,     0.00, 1.35654E-006,  -102.19,    63.5003,   138.31,    63.5003,    18.31,    63.5003,  -101.69,          0,     0.00, 1.35934E-006,    77.92
Line.L_CEI_MT_16434A,    39.6868,   138.31,    39.6868,    18.31,    39.6868,  -101.69,          0,     0.00, 1.49581E-006,    19.82,    39.6868,   -41.69,    39.6868,  -161.69,    39.6868,    78.31,          0,     0.00, 1.49984E-006,  -160.33
Line.L_CEI_MT_171819,    285.538,   138.34,    285.538,    18.34,    285.538,  -101.66,          0,     0.00, 0.00010362,   162.07,    285.538,   -41.66,    285.538,  -161.66,    285.538,    78.34,          0,     0.00, 0.000103621,   -17.92
Line.L_CEI_MT_171820,    285.538,   138.34,    285.538,    18.34,    285.538,  -101.66,          0,     0.00, 0.000103621,   162.08,    285.538,   -41.66,    285.538,  -161.66,    285.538,    78.34,          0,     0.00, 0.000103625,   -17.93
Line.L_CEI_MT_171828,    1.58771,   138.31,    1.58771,    18.31,    1.58771,  -101.69,          0,     0.00, 6.7199E-009,   -14.04,    1.58771,   -41.69,    1.58771,  -161.69,    1.58771,    78.31,          0,     0.00, 8.41096E-009,  -175.24
