Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SCN_CN15_9153_CEI109", 13.8, 1,    7817.78,   -0.8,   0.98122, 2,    7817.78, -120.8,   0.98122, 3,    7817.78,  119.2,   0.98122
"SCN_CN15_9154_CEI109", 13.8, 1,    7816.67,   -0.8,   0.98108, 2,    7816.67, -120.8,   0.98108, 3,    7816.67,  119.2,   0.98108
"SCN_CN15_9098_CEI131_ATV", 13.8, 1,    7786.49,   -0.7,   0.97729, 2,    7786.49, -120.7,   0.97729, 3,    7786.49,  119.3,   0.97729
"SCN_CN15_9097_CEI131_ATV", 13.8, 1,     7786.5,   -0.7,   0.97729, 2,     7786.5, -120.7,   0.97729, 3,     7786.5,  119.3,   0.97729
"SCN_CN15_9079_CEI201_ATV", 13.8, 1,    7776.35,   -0.7,   0.97602, 2,    7776.35, -120.7,   0.97602, 3,    7776.35,  119.3,   0.97602
"SCN_CN15_9080_CEI201_ATV", 13.8, 1,    7776.35,   -0.7,   0.97602, 2,    7776.35, -120.7,   0.97602, 3,    7776.35,  119.3,   0.97602
"SCN_CN15_9356_CEI109", 13.8, 1,    7782.32,   -0.7,   0.97677, 2,    7782.32, -120.7,   0.97677, 3,    7782.32,  119.3,   0.97677
"SCN_CN15_9349_CEI109", 13.8, 1,    7782.37,   -0.7,   0.97677, 2,    7782.37, -120.7,   0.97677, 3,    7782.37,  119.3,   0.97677
"SCN_CN15_9039_CEI201_ATV", 13.8, 1,    7782.42,   -0.7,   0.97678, 2,    7782.42, -120.7,   0.97678, 3,    7782.42,  119.3,   0.97678
"SCN_CN15_9021_CEI201_ATV", 13.8, 1,     7781.8,   -0.7,    0.9767, 2,     7781.8, -120.7,    0.9767, 3,     7781.8,  119.3,    0.9767
"SCN_CN15_9022_CEI201_ATV", 13.8, 1,    7781.83,   -0.7,    0.9767, 2,    7781.83, -120.7,    0.9767, 3,    7781.83,  119.3,    0.9767
"SCN_CN15_9274_CEI109", 13.8, 1,    7786.47,   -0.7,   0.97729, 2,    7786.47, -120.7,   0.97729, 3,    7786.47,  119.3,   0.97729
"SCN_CN15_9275_CEI109", 13.8, 1,     7786.7,   -0.7,   0.97732, 2,     7786.7, -120.7,   0.97732, 3,     7786.7,  119.3,   0.97732
"SCN_CN15_9269_CEI109", 13.8, 1,    7786.24,   -0.7,   0.97726, 2,    7786.24, -120.7,   0.97726, 3,    7786.24,  119.3,   0.97726
"SCN_CN15_9053_CEI201_ATV", 13.8, 1,    7782.74,   -0.7,   0.97682, 2,    7782.74, -120.7,   0.97682, 3,    7782.74,  119.3,   0.97682
"SCN_CN15_9485_CEI109", 13.8, 1,    7782.74,   -0.7,   0.97682, 2,    7782.74, -120.7,   0.97682, 3,    7782.74,  119.3,   0.97682
"SCN_CN15_421165_CEI", 13.8, 1,     7774.1,   -0.7,   0.97573, 2,     7774.1, -120.7,   0.97573, 3,     7774.1,  119.3,   0.97573
"SCN_CN15_421166_CEI", 13.8, 1,    7773.96,   -0.7,   0.97572, 2,    7773.96, -120.7,   0.97572, 3,    7773.96,  119.3,   0.97572
"SCN_CN15_9143_CEI69B", 13.8, 1,    7773.83,   -0.7,    0.9757, 2,    7773.83, -120.7,    0.9757, 3,    7773.83,  119.3,    0.9757
"SCN_CN15_9141_CEI201_ATV", 13.8, 1,     7774.1,   -0.7,   0.97573, 2,     7774.1, -120.7,   0.97573, 3,     7774.1,  119.3,   0.97573
"SCN_CN15_9129_CEI201_ATV", 13.8, 1,    7773.22,   -0.7,   0.97562, 2,    7773.22, -120.7,   0.97562, 3,    7773.22,  119.3,   0.97562
"SCN_CN15_9008_CEI220_ATV", 13.8, 1,    7773.22,   -0.7,   0.97562, 2,    7773.22, -120.7,   0.97562, 3,    7773.22,  119.3,   0.97562
"SCN_CN15_421168_CEI", 13.8, 1,    7784.08,   -0.7,   0.97699, 2,    7784.08, -120.7,   0.97699, 3,    7784.08,  119.3,   0.97699
"SCN_CN15_9015_CEI109", 13.8, 1,    7784.08,   -0.7,   0.97699, 2,    7784.08, -120.7,   0.97699, 3,    7784.08,  119.3,   0.97699
"SCN_CN15_421185_CEI", 13.8, 1,    7781.59,   -0.7,   0.97667, 2,    7781.59, -120.7,   0.97667, 3,    7781.59,  119.3,   0.97667
"SCN_CN15_9162_CEI220_ATV_S", 13.8, 1,    7781.78,   -0.7,    0.9767, 2,    7781.78, -120.7,    0.9767, 3,    7781.78,  119.3,    0.9767
"SCN_CN15_421186_CEI", 13.8, 1,     7781.4,   -0.7,   0.97665, 2,     7781.4, -120.7,   0.97665, 3,     7781.4,  119.3,   0.97665
"SCN_CN15_421187_CEI", 13.8, 1,    7781.21,   -0.7,   0.97663, 2,    7781.21, -120.7,   0.97663, 3,    7781.21,  119.3,   0.97663
