Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    275.174,   154.73,    275.176,    34.73,    275.177,   -85.27,          0,     0.00, 0.00165615,   -53.20,    275.174,   -25.27,    275.176,  -145.27,    275.177,    94.73,          0,     0.00, 0.00165615,   126.80
Line.L_BSB_MT_2356,    1.94498,   154.80,    1.94491,    34.80,    1.94503,   -85.19,          0,     0.00, 8.1698E-005,   -85.90,    1.94498,   -25.20,    1.94491,  -145.20,    1.94503,    94.81,          0,     0.00, 8.16981E-005,    94.10
Line.L_BSB_MT_2357,    42.1818,   -25.24,     42.182,  -145.24,     42.182,    94.76,          0,     0.00, 0.000269737,    18.46,    42.1818,   154.76,     42.182,    34.76,     42.182,   -85.24,          0,     0.00, 0.000269737,  -161.54
Line.L_BSB_MT_2360,    4.09324,   155.13,    4.09347,    35.13,    4.09345,   -84.87,          0,     0.00, 0.00035385,   -50.35,    4.09324,   -24.87,    4.09347,  -144.87,    4.09345,    95.13,          0,     0.00, 0.00035385,   129.65
Line.L_BSB_MT_2361,    1.98451,   -24.92,    1.98449,  -144.92,    1.98447,    95.08,          0,     0.00, 0.000118065,   -34.15,    1.98451,   155.08,    1.98449,    35.08,    1.98447,   -84.92,          0,     0.00, 0.000118065,   145.85
Line.L_BSB_MT_8919,    60.0785,   155.11,    60.0791,    35.11,    60.0792,   -84.89,          0,     0.00, 0.00129098,   -34.07,    60.0785,   -24.89,    60.0791,  -144.89,    60.0792,    95.11,          0,     0.00, 0.00129098,   145.93
Line.L_BSB_MT_8957, 5.9222E-011,  -137.49, 7.42005E-011,   168.69, 5.82077E-011,    90.00,          0,     0.00, 1.20932E-010,   164.29, 6.43624E-011,   132.71, 4.42579E-011,  -170.54, 1.16415E-010,   -90.00,          0,     0.00, 1.16017E-010,  -138.81
Line.L_BSB_MT_8959,  0.0453434,   -12.10,  0.0453911,  -132.14,  0.0453135,   107.83,          0,     0.00, 2.59734E-005,   -82.91,  0.0453434,   167.90,  0.0453911,    47.86,  0.0453135,   -72.17,          0,     0.00, 2.59733E-005,    97.09
Line.L_BSB_MT_8960,   0.773605,   -25.24,   0.773722,  -145.24,   0.773668,    94.75,          0,     0.00, 6.40756E-005,   111.97,   0.773605,   154.76,   0.773722,    34.76,   0.773668,   -85.25,          0,     0.00, 6.40755E-005,   -68.03
Line.L_BSB_MT_8962,    31.4458,   -26.55,    31.4462,  -146.55,    31.4463,    93.45,          0,     0.00, 0.000810761,   133.76,    31.4458,   153.45,    31.4462,    33.45,    31.4463,   -86.55,          0,     0.00, 0.000810761,   -46.24
Line.L_BSB_MT_8963,   0.528112,   155.14,   0.528223,    35.13,   0.528228,   -84.88,          0,     0.00, 0.000109416,  -104.66,   0.528112,   -24.86,   0.528223,  -144.87,   0.528228,    95.12,          0,     0.00, 0.000109416,    75.34
Line.L_BSB_MT_8964,   0.528112,   155.14,   0.528223,    35.13,   0.528228,   -84.88,          0,     0.00, 0.000109416,  -104.66,   0.528112,   -24.86,   0.528223,  -144.87,   0.528228,    95.12,          0,     0.00, 0.000109415,    75.34
Line.L_BSB_MT_8965,    8.31955,   -24.89,    8.31943,  -144.89,    8.31968,    95.11,          0,     0.00, 0.000147304,   121.53,    8.31955,   155.11,    8.31943,    35.11,    8.31968,   -84.89,          0,     0.00, 0.000147304,   -58.47
Line.L_BSB_MT_8966,    13.4289,   159.00,    13.4289,    39.00,    13.4289,   -81.00,          0,     0.00, 0.000154812,   -11.14,    13.4289,   -21.00,    13.4289,  -141.00,    13.4289,    99.00,          0,     0.00, 0.000154812,   168.86
Line.L_BSB_MT_7473,    16.2547,   154.75,    16.2546,    34.75,    16.2547,   -85.25,          0,     0.00, 0.000124132,   108.53,    16.2547,   -25.25,    16.2546,  -145.25,    16.2547,    94.75,          0,     0.00, 0.000124132,   -71.47
Line.L_BSB_MT_7577,    1.94498,   154.80,    1.94491,    34.80,    1.94503,   -85.19,          0,     0.00, 8.16981E-005,   -85.90,    1.94498,   -25.20,    1.94491,  -145.20,    1.94503,    94.81,          0,     0.00, 8.1698E-005,    94.10
Line.L_BSB_MT_7578,    26.6971,   -25.24,    26.6973,  -145.24,    26.6974,    94.76,          0,     0.00, 0.000271405,    24.23,    26.6971,   154.76,    26.6973,    34.76,    26.6974,   -85.24,          0,     0.00, 0.000271405,  -155.77
Line.L_BSB_MT_6345,    275.174,   154.73,    275.176,    34.73,    275.176,   -85.27,          0,     0.00, 0.00155411,   -50.20,    275.174,   -25.27,    275.176,  -145.27,    275.176,    94.73,          0,     0.00, 0.00155411,   129.80
Line.L_BSB_MT_3678,    5.34813,   -24.89,    5.34801,  -144.89,    5.34826,    95.11,          0,     0.00, 0.000147636,   121.69,    5.34813,   155.11,    5.34801,    35.11,    5.34826,   -84.89,          0,     0.00, 0.000147636,   -58.31
Line.L_BSB_MT_3679,    8.31955,   -24.89,    8.31943,  -144.89,    8.31968,    95.11,          0,     0.00, 0.000147303,   121.53,    8.31955,   155.11,    8.31943,    35.11,    8.31968,   -84.89,          0,     0.00, 0.000147303,   -58.47
