Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"NW_ALNW08", 13.8, 1,    7950.86,   -0.1,   0.99792, 2,    7950.86, -120.1,   0.99792, 3,    7950.86,  119.9,   0.99792
"SNW_NW08_9442_BSB006", 13.8, 1,    7595.17,   -0.8,   0.95328, 2,    7595.16, -120.8,   0.95328, 3,    7595.16,  119.2,   0.95328
"SNW_NW08_9443_BSB006", 13.8, 1,    7595.21,   -0.8,   0.95328, 2,    7595.21, -120.8,   0.95328, 3,    7595.21,  119.2,   0.95328
"SNW_NW08_9300_BSB006", 13.8, 1,    7564.48,   -0.8,   0.94942, 2,    7564.47, -120.8,   0.94942, 3,    7564.47,  119.2,   0.94942
"SNW_NW08_9301_BSB006", 13.8, 1,    7563.68,   -0.8,   0.94932, 2,    7563.68, -120.8,   0.94932, 3,    7563.68,  119.2,   0.94932
"SNW_NW08_9079_BSB004", 13.8, 1,    7729.05,   -0.5,   0.97008, 2,    7729.05, -120.5,   0.97008, 3,    7729.05,  119.5,   0.97008
"SNW_NW08_9104_BSB004", 13.8, 1,    7729.07,   -0.5,   0.97008, 2,    7729.07, -120.5,   0.97008, 3,    7729.07,  119.5,   0.97008
"SNW_NW08_9333_BSB006", 13.8, 1,     7579.1,   -0.8,   0.95126, 2,     7579.1, -120.8,   0.95126, 3,     7579.1,  119.2,   0.95126
"SNW_NW08_9342_BSB006", 13.8, 1,    7579.05,   -0.8,   0.95125, 2,    7579.05, -120.8,   0.95125, 3,    7579.05,  119.2,   0.95125
"SNW_NW08_9187_BSB003", 13.8, 1,    7752.58,   -0.4,   0.97303, 2,    7752.58, -120.4,   0.97303, 3,    7752.58,  119.6,   0.97303
"SNW_NW08_9048_BSBRJ015_ATV", 13.8, 1,    7753.91,   -0.4,    0.9732, 2,    7753.91, -120.4,    0.9732, 3,    7753.91,  119.6,    0.9732
"SNW_NW08_9429_BSB006_S", 13.8, 1,    7583.16,   -0.8,   0.95177, 2,    7583.16, -120.8,   0.95177, 3,    7583.15,  119.2,   0.95177
"SNW_NW08_9430_BSB006", 13.8, 1,    7583.16,   -0.8,   0.95177, 2,    7583.16, -120.8,   0.95177, 3,    7583.15,  119.2,   0.95177
"SNW_NW08_9352_BSB006", 13.8, 1,    7578.71,   -0.8,   0.95121, 2,     7578.7, -120.8,   0.95121, 3,     7578.7,  119.2,   0.95121
"SNW_NW08_9353_BSB006", 13.8, 1,    7578.71,   -0.8,   0.95121, 2,     7578.7, -120.8,   0.95121, 3,     7578.7,  119.2,   0.95121
"SNW_NW08_9325_BSB006", 13.8, 1,    7557.44,   -0.8,   0.94854, 2,    7557.44, -120.8,   0.94854, 3,    7557.44,  119.2,   0.94854
"SNW_NW08_9326_BSB006_S", 13.8, 1,    7557.42,   -0.8,   0.94854, 2,    7557.42, -120.8,   0.94854, 3,    7557.42,  119.2,   0.94854
"SNW_NW08_9121_BSB004", 13.8, 1,    7730.21,   -0.5,   0.97023, 2,    7730.21, -120.5,   0.97023, 3,    7730.21,  119.5,   0.97023
"SNW_NW08_9122_BSB004", 13.8, 1,    7729.43,   -0.5,   0.97013, 2,    7729.42, -120.5,   0.97013, 3,    7729.42,  119.5,   0.97013
"SNW_NW08_9065_BSB004", 13.8, 1,    7728.58,   -0.5,   0.97002, 2,    7728.58, -120.5,   0.97002, 3,    7728.58,  119.5,   0.97002
"SNW_NW08_9066_BSB004", 13.8, 1,    7728.59,   -0.5,   0.97002, 2,    7728.59, -120.5,   0.97002, 3,    7728.59,  119.5,   0.97002
"SNW_NW08_9063_BSB004_S", 13.8, 1,    7728.57,   -0.5,   0.97002, 2,    7728.56, -120.5,   0.97002, 3,    7728.56,  119.5,   0.97002
"SNW_NW08_9064_BSB004", 13.8, 1,    7728.57,   -0.5,   0.97002, 2,    7728.57, -120.5,   0.97002, 3,    7728.57,  119.5,   0.97002
"SNW_NW08_9053_BSB004", 13.8, 1,     7722.2,   -0.5,   0.96922, 2,     7722.2, -120.5,   0.96922, 3,     7722.2,  119.5,   0.96922
"SNW_NW08_9054_BSB004", 13.8, 1,       7722,   -0.5,    0.9692, 2,       7722, -120.5,    0.9692, 3,       7722,  119.5,    0.9692
"SNW_NW08_9209_BSB004", 13.8, 1,     7723.5,   -0.5,   0.96938, 2,     7723.5, -120.5,   0.96938, 3,    7723.49,  119.5,   0.96938
"SNW_NW08_9210_BSB004", 13.8, 1,    7723.79,   -0.5,   0.96942, 2,    7723.78, -120.5,   0.96942, 3,    7723.78,  119.5,   0.96942
"SNW_NW08_9363_BSB006", 13.8, 1,    7580.06,   -0.8,   0.95138, 2,    7580.05, -120.8,   0.95138, 3,    7580.05,  119.2,   0.95138
"SNW_NW08_9364_BSB006", 13.8, 1,    7580.32,   -0.8,   0.95141, 2,    7580.32, -120.8,   0.95141, 3,    7580.32,  119.2,   0.95141
"SNW_NW08_9440_BSB006", 13.8, 1,    7595.07,   -0.8,   0.95326, 2,    7595.07, -120.8,   0.95326, 3,    7595.07,  119.2,   0.95326
"SNW_NW08_9441_BSB006", 13.8, 1,    7595.12,   -0.8,   0.95327, 2,    7595.11, -120.8,   0.95327, 3,    7595.11,  119.2,   0.95327
"SNW_NW08_9307_BSB006", 13.8, 1,    7560.46,   -0.8,   0.94892, 2,    7560.46, -120.8,   0.94892, 3,    7560.46,  119.2,   0.94892
"SNW_NW08_9308_BSB006", 13.8, 1,    7559.79,   -0.8,   0.94884, 2,    7559.79, -120.8,   0.94884, 3,    7559.79,  119.2,   0.94884
"SNW_NW08_9083_BSBRJ015_ATV", 13.8, 1,    7836.99,   -0.2,   0.98363, 2,    7836.99, -120.2,   0.98363, 3,    7836.99,  119.8,   0.98363
"SNW_NW08_9081_BSBRJ015_ATV", 13.8, 1,    7850.42,   -0.2,   0.98531, 2,    7850.42, -120.2,   0.98531, 3,    7850.42,  119.8,   0.98531
"SNW_NW08_9055_BSB004", 13.8, 1,    7721.88,   -0.5,   0.96918, 2,    7721.88, -120.5,   0.96918, 3,    7721.88,  119.5,   0.96918
"SNW_NW08_9056_BSB004", 13.8, 1,    7721.78,   -0.5,   0.96917, 2,    7721.77, -120.5,   0.96917, 3,    7721.77,  119.5,   0.96917
"SNW_NW08_9245_BSB004", 13.8, 1,    7722.39,   -0.5,   0.96924, 2,    7722.39, -120.5,   0.96924, 3,    7722.39,  119.5,   0.96924
"SNW_NW08_9246_BSB004", 13.8, 1,    7722.61,   -0.5,   0.96927, 2,     7722.6, -120.5,   0.96927, 3,     7722.6,  119.5,   0.96927
"SNW_NW08_9247_BSB004", 13.8, 1,    7722.81,   -0.5,    0.9693, 2,    7722.81, -120.5,    0.9693, 3,    7722.81,  119.5,    0.9693
"SNW_NW08_9248_BSB004", 13.8, 1,    7723.02,   -0.5,   0.96932, 2,    7723.01, -120.5,   0.96932, 3,    7723.01,  119.5,   0.96932
"SNW_NW08_9249_BSB004", 13.8, 1,    7723.19,   -0.5,   0.96935, 2,    7723.19, -120.5,   0.96934, 3,    7723.19,  119.5,   0.96934
"SNW_NW08_9228_BSB004", 13.8, 1,    7723.58,   -0.5,   0.96939, 2,    7723.58, -120.5,   0.96939, 3,    7723.58,  119.5,   0.96939
"SNW_NW08_9229_BSB004", 13.8, 1,     7723.4,   -0.5,   0.96937, 2,     7723.4, -120.5,   0.96937, 3,     7723.4,  119.5,   0.96937
"SNW_NW08_9109_BSB004", 13.8, 1,    7728.45,   -0.5,      0.97, 2,    7728.45, -120.5,      0.97, 3,    7728.45,  119.5,      0.97
"SNW_NW08_9111_BSB004_S", 13.8, 1,    7728.36,   -0.5,   0.96999, 2,    7728.36, -120.5,   0.96999, 3,    7728.36,  119.5,   0.96999
"SNW_NW08_9112_BSB004", 13.8, 1,    7728.28,   -0.5,   0.96998, 2,    7728.27, -120.5,   0.96998, 3,    7728.27,  119.5,   0.96998
"SNW_NW08_9113_BSB004", 13.8, 1,    7728.19,   -0.5,   0.96997, 2,    7728.19, -120.5,   0.96997, 3,    7728.19,  119.5,   0.96997
"SNW_NW08_9001_BSB004", 13.8, 1,    7728.18,   -0.5,   0.96997, 2,    7728.17, -120.5,   0.96997, 3,    7728.17,  119.5,   0.96997
"SNW_NW08_9003_BSB004", 13.8, 1,    7728.14,   -0.5,   0.96997, 2,    7728.14, -120.5,   0.96997, 3,    7728.14,  119.5,   0.96997
"SNW_NW08_9077_BSB004", 13.8, 1,    7728.33,   -0.5,   0.96999, 2,    7728.32, -120.5,   0.96999, 3,    7728.32,  119.5,   0.96999
"SNW_NW08_9110_BSB004", 13.8, 1,    7728.36,   -0.5,   0.96999, 2,    7728.36, -120.5,   0.96999, 3,    7728.36,  119.5,   0.96999
"SNW_NW08_9076_BSB004", 13.8, 1,    7728.29,   -0.5,   0.96999, 2,    7728.29, -120.5,   0.96999, 3,    7728.29,  119.5,   0.96999
"SNW_NW08_9035_BSB004", 13.8, 1,    7728.11,   -0.5,   0.96996, 2,    7728.11, -120.5,   0.96996, 3,    7728.11,  119.5,   0.96996
"SNW_NW08_9036_BSB004", 13.8, 1,    7728.11,   -0.5,   0.96996, 2,    7728.11, -120.5,   0.96996, 3,    7728.11,  119.5,   0.96996
