Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"CN_ALCN15", 13.8, 1,    7964.63,    0.0,   0.99965, 2,    7964.63, -120.0,   0.99965, 3,    7964.63,  120.0,   0.99965
"SCN_CN15_9153_CEI109", 13.8, 1,    7793.41,   -0.4,   0.97816, 2,    7793.39, -120.4,   0.97816, 3,    7793.39,  119.6,   0.97816
"SCN_CN15_9154_CEI109", 13.8, 1,    7793.41,   -0.4,   0.97816, 2,    7793.39, -120.4,   0.97816, 3,    7793.39,  119.6,   0.97816
"SCN_CN15_9098_CEI131_ATV", 13.8, 1,    7800.77,   -0.4,   0.97908, 2,    7800.75, -120.4,   0.97908, 3,    7800.75,  119.6,   0.97908
"SCN_CN15_9097_CEI131_ATV", 13.8, 1,    7800.77,   -0.4,   0.97908, 2,    7800.75, -120.4,   0.97908, 3,    7800.75,  119.6,   0.97908
"SCN_CN15_9079_CEI201_ATV", 13.8, 1,    7809.04,   -0.3,   0.98012, 2,    7809.02, -120.3,   0.98012, 3,    7809.02,  119.7,   0.98012
"SCN_CN15_9080_CEI201_ATV", 13.8, 1,    7809.04,   -0.3,   0.98012, 2,    7809.02, -120.3,   0.98012, 3,    7809.02,  119.7,   0.98012
"SCN_CN15_9356_CEI109", 13.8, 1,    7790.98,   -0.4,   0.97785, 2,    7790.96, -120.4,   0.97785, 3,    7790.96,  119.6,   0.97785
"SCN_CN15_9349_CEI109", 13.8, 1,    7791.02,   -0.4,   0.97786, 2,       7791, -120.4,   0.97786, 3,       7791,  119.6,   0.97786
"SCN_CN15_9039_CEI201_ATV", 13.8, 1,    7791.05,   -0.4,   0.97786, 2,    7791.02, -120.4,   0.97786, 3,    7791.02,  119.6,   0.97786
"SCN_CN15_9021_CEI201_ATV", 13.8, 1,    7790.66,   -0.4,   0.97781, 2,    7790.64, -120.4,   0.97781, 3,    7790.64,  119.6,   0.97781
"SCN_CN15_9022_CEI201_ATV", 13.8, 1,    7790.68,   -0.4,   0.97782, 2,    7790.66, -120.4,   0.97781, 3,    7790.66,  119.6,   0.97781
"SCN_CN15_9274_CEI109", 13.8, 1,    7796.97,   -0.4,   0.97861, 2,    7796.95, -120.4,    0.9786, 3,    7796.95,  119.6,    0.9786
"SCN_CN15_9275_CEI109", 13.8, 1,    7796.85,   -0.4,   0.97859, 2,    7796.83, -120.4,   0.97859, 3,    7796.83,  119.6,   0.97859
"SCN_CN15_9269_CEI109", 13.8, 1,    7797.09,   -0.4,   0.97862, 2,    7797.07, -120.4,   0.97862, 3,    7797.07,  119.6,   0.97862
"SCN_CN15_9053_CEI201_ATV", 13.8, 1,    7791.23,   -0.4,   0.97788, 2,    7791.21, -120.4,   0.97788, 3,    7791.21,  119.6,   0.97788
"SCN_CN15_9485_CEI109", 13.8, 1,    7791.23,   -0.4,   0.97789, 2,    7791.21, -120.4,   0.97788, 3,    7791.21,  119.6,   0.97788
"SCN_CN15_421165_CEI", 13.8, 1,     7810.1,   -0.3,   0.98025, 2,    7810.08, -120.3,   0.98025, 3,    7810.08,  119.7,   0.98025
"SCN_CN15_421166_CEI", 13.8, 1,    7810.16,   -0.3,   0.98026, 2,    7810.14, -120.3,   0.98026, 3,    7810.14,  119.7,   0.98026
"SCN_CN15_9143_CEI69B", 13.8, 1,    7810.21,   -0.3,   0.98027, 2,    7810.19, -120.3,   0.98026, 3,    7810.19,  119.7,   0.98026
"SCN_CN15_9141_CEI201_ATV", 13.8, 1,     7810.1,   -0.3,   0.98025, 2,    7810.08, -120.3,   0.98025, 3,    7810.08,  119.7,   0.98025
