Alimentador;Carregamento_%;Tensao_Minima_pu;Tensao_Media_pu;Queda_desde_1pu;Convergiu
NW08;20;0,983807;0,987933;0,016193;True
NW08;40;0,966760;0,975246;0,033240;True
NW08;60;0,950490;0,963016;0,049510;True
NW08;80;0,935350;0,951666;0,064650;True
NW08;100;0,920860;0,940792;0,079140;True
NW08;120;0,906970;0,930357;0,093030;True
ES11;20;0,993780;0,995127;0,006220;True
ES11;40;0,987380;0,990106;0,012620;True
ES11;60;0,980780;0,984922;0,019220;True
ES11;80;0,974000;0,979591;0,026000;True
ES11;100;0,967800;0,974693;0,032200;True
ES11;120;0,961820;0,969969;0,038180;True
CN12;20;0,974920;0,980548;0,025080;True
CN12;40;0,948810;0,960204;0,051190;True
CN12;60;0,925130;0,941702;0,074870;True
CN12;80;0,902690;0,924134;0,097310;True
CN12;100;0,881410;0,907429;0,118590;True
CN12;120;0,861210;0,891542;0,138790;True
CN15;20;0,947540;0,972447;0,052460;True
CN15;40;0,899403;0,946117;0,100597;True
CN15;60;0,856327;0,922294;0,143673;True
CN15;80;0,817410;0,900433;0,182590;True
CN15;100;0,782030;0,880212;0,217970;True
CN15;120;0,749770;0,861452;0,250230;True
