Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"S06_0614_11230920", 13.8, 1,    7941.06,   -0.2,   0.99669, 2,    7941.06, -120.2,   0.99669, 3,    7941.06,  119.8,   0.99669
"S06_0614_11230929", 13.8, 1,    7940.78,   -0.2,   0.99665, 2,    7940.78, -120.2,   0.99665, 3,    7940.78,  119.8,   0.99665
"S06_0614_11230913", 13.8, 1,    7940.95,   -0.2,   0.99668, 2,    7940.95, -120.2,   0.99668, 3,    7940.95,  119.8,   0.99668
"S06_0614_11230922", 13.8, 1,    7939.37,   -0.2,   0.99648, 2,    7939.37, -120.2,   0.99648, 3,    7939.37,  119.8,   0.99648
"S06_0614_11230916", 13.8, 1,    7939.31,   -0.2,   0.99647, 2,    7939.31, -120.2,   0.99647, 3,    7939.31,  119.8,   0.99647
"S06_0614_11230912", 13.8, 1,    7940.72,   -0.2,   0.99665, 2,    7940.72, -120.2,   0.99665, 3,    7940.72,  119.8,   0.99665
"S06_0614_11230930", 13.8, 1,    7939.42,   -0.2,   0.99648, 2,    7939.42, -120.2,   0.99648, 3,    7939.42,  119.8,   0.99648
"S06_0614_11230933", 13.8, 1,    7939.25,   -0.2,   0.99646, 2,    7939.25, -120.2,   0.99646, 3,    7939.25,  119.8,   0.99646
"S06_0614_PT_CH1_725_S", 13.8, 1,    7937.93,   -0.2,    0.9963, 2,    7937.93, -120.2,    0.9963, 3,    7937.93,  119.8,    0.9963
"S06_0614_PT_TF_730", 13.8, 1,    7937.82,   -0.2,   0.99628, 2,    7937.82, -120.2,   0.99628, 3,    7937.82,  119.8,   0.99628
"S06_0614_11230914", 13.8, 1,    7938.69,   -0.2,   0.99639, 2,    7938.69, -120.2,   0.99639, 3,    7938.69,  119.8,   0.99639
"S06_0614_PT_CH1_111", 13.8, 1,    7938.58,   -0.2,   0.99638, 2,    7938.58, -120.2,   0.99638, 3,    7938.58,  119.8,   0.99638
"S06_0614_11230927", 13.8, 1,    7938.75,   -0.2,    0.9964, 2,    7938.75, -120.2,    0.9964, 3,    7938.75,  119.8,    0.9964
"S06_0614_11230915", 13.8, 1,    7938.69,   -0.2,   0.99639, 2,    7938.69, -120.2,   0.99639, 3,    7938.69,  119.8,   0.99639
"S06_0614_11231083", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11231080", 13.8, 1,    7939.94,   -0.2,   0.99655, 2,    7939.94, -120.2,   0.99655, 3,    7939.94,  119.8,   0.99655
"S06_0614_11231075", 13.8, 1,    7939.83,   -0.2,   0.99654, 2,    7939.83, -120.2,   0.99654, 3,    7939.83,  119.8,   0.99654
"06_AL0614", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11458598", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11458599", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11458600", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11260978", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11260981", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11260998", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11260983", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11464599", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11260985", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11260990", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11270776", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11270777", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11458682", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11458681", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11458680", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11464600", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11464601", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
"S06_0614_11464602", 13.8, 1,    7940.05,   -0.2,   0.99656, 2,    7940.05, -120.2,   0.99656, 3,    7940.05,  119.8,   0.99656
