Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    344.443,   151.79,    344.443,    31.79,    344.443,   -88.21,          0,     0.00, 1.54458E-005,  -133.24,    344.443,   -28.21,    344.443,  -148.21,    344.443,    91.79,          0,     0.00, 1.54458E-005,    46.76
Line.L_TR_SUB_MT_FIC_534,     57.387,   -28.20,     57.387,  -148.20,     57.387,    91.80,          0,     0.00, 7.04673E-009,    97.59,     57.387,   151.80,     57.387,    31.80,     57.387,   -88.20,          0,     0.00, 8.99341E-009,  -111.25
Line.L_TR_SUB_MT_FIC_537,    57.3902,   -28.20,    57.3902,  -148.20,    57.3902,    91.80,          0,     0.00, 8.99341E-009,    68.75,    57.3902,   151.80,    57.3902,    31.80,    57.3902,   -88.20,          0,     0.00, 1.1501E-008,  -111.37
Line.L_TR_SUB_MT_FIC_542,     57.416,   -28.21,     57.416,  -148.21,     57.416,    91.79,          0,     0.00, 4.41765E-009,    71.57,     57.416,   151.79,     57.416,    31.79,     57.416,   -88.21,          0,     0.00, 6.71586E-009,  -123.69
Line.L_TR_SUB_MT_FIC_545,     57.416,   -28.21,     57.416,  -148.21,     57.416,    91.79,          0,     0.00, 4.41765E-009,    71.57,     57.416,   151.79,     57.416,    31.79,     57.416,   -88.21,          0,     0.00, 6.71586E-009,  -123.69
Line.L_TR_SUB_MT_FIC_549,    57.4171,   -28.21,    57.4171,  -148.21,    57.4171,    91.79,          0,     0.00, 6.92255E-009,   137.73,    57.4171,   151.79,    57.4171,    31.79,    57.4171,   -88.21,          0,     0.00, 8.69927E-009,   -74.48
Line.L_TR_SUB_MT_FIC_553,    57.4171,   -28.21,    57.4171,  -148.21,    57.4171,    91.79,          0,     0.00, 6.92255E-009,   137.73,    57.4171,   151.79,    57.4171,    31.79,    57.4171,   -88.21,          0,     0.00, 8.69927E-009,   -74.48
Line.L_65434592,    114.832,   -28.21,    114.832,  -148.21,    114.832,    91.79,          0,     0.00, 3.50022E-006,    42.37,    114.832,   151.79,    114.832,    31.79,    114.832,   -88.21,          0,     0.00, 3.50536E-006,  -137.58
Line.L_TR_SUB_MT_FIC_3072,     57.416,   -28.21,     57.416,  -148.21,     57.416,    91.79,          0,     0.00, 1.76083E-006,    42.61,     57.416,   151.79,     57.416,    31.79,     57.416,   -88.21,          0,     0.00, 1.76275E-006,  -137.34
Line.L_TR_SUB_MT_FIC_3254,    57.3902,   -28.20,    57.3902,  -148.20,    57.3902,    91.80,          0,     0.00, 1.75397E-006,    42.57,    57.3902,   151.80,    57.3902,    31.80,    57.3902,   -88.20,          0,     0.00, 1.75331E-006,  -137.43
Line.L_TR_SUB_MT_FIC_3312,    57.4171,   -28.21,    57.4171,  -148.21,    57.4171,    91.79,          0,     0.00, 1.75528E-006,    42.57,    57.4171,   151.79,    57.4171,    31.79,    57.4171,   -88.21,          0,     0.00, 1.75523E-006,  -137.39
Line.L_TR_SUB_MT_FIC_3354,     57.416,   -28.21,     57.416,  -148.21,     57.416,    91.79,          0,     0.00, 1.76083E-006,    42.61,     57.416,   151.79,     57.416,    31.79,     57.416,   -88.21,          0,     0.00, 1.76275E-006,  -137.34
Line.L_65632489, 0.000104326,   -89.60, 0.000100198,   150.70, 9.74632E-005,    30.85,          0,     0.00, 6.0851E-006,  -119.33, 0.000114506,    90.35, 0.000110377,   -29.38, 0.000107641,  -149.24,          0,     0.00, 6.08958E-006,    60.64
Line.L_65453103, 0.000114504,   -89.65, 0.000110373,   150.62, 0.000107646,    30.76,          0,     0.00, 6.07997E-006,  -119.31, 0.000124684,    90.31, 0.000120555,   -29.45, 0.000117822,  -149.32,          0,     0.00, 6.08619E-006,    60.66
Line.L_65453088, 0.000124682,   -89.70, 0.000120555,   150.55, 0.000117821,    30.68,          0,     0.00, 6.08193E-006,  -119.41, 0.000134861,    90.27, 0.000130735,   -29.50, 0.000127998,  -149.39,          0,     0.00, 6.08771E-006,    60.60
Line.L_65453072, 0.000134863,   -89.73, 0.000130732,   150.50, 0.000127998,    30.61,          0,     0.00, 6.08464E-006,  -119.33, 0.000145041,    90.24, 0.00014091,   -29.55, 0.000138176,  -149.45,          0,     0.00, 6.08378E-006,    60.68
Line.L_65453042, 0.000145043,   -89.76, 0.000140908,   150.45, 0.000138175,    30.55,          0,     0.00, 6.09022E-006,  -119.28, 0.000155223,    90.21, 0.000151088,   -29.59, 0.000148353,  -149.50,          0,     0.00, 6.09195E-006,    60.71
Line.L_65453041, 0.000155223,   -89.79, 0.000151093,   150.41, 0.000148356,    30.50,          0,     0.00, 6.0854E-006,  -119.31, 0.000165404,    90.19, 0.000161271,   -29.63, 0.000158536,  -149.54,          0,     0.00, 6.08698E-006,    60.71
Line.L_65453376, 0.000165405,   -89.81, 0.000161268,   150.37, 0.00015853,    30.46,          0,     0.00, 6.09378E-006,  -119.24, 0.000175585,    90.17, 0.000171448,   -29.66, 0.00016871,  -149.58,          0,     0.00, 6.09749E-006,    60.77
Line.L_65453360, 0.000175586,   -89.83, 0.000171451,   150.34, 0.000168711,    30.42,          0,     0.00, 6.09835E-006,  -119.23, 0.000185764,    90.15, 0.00018163,   -29.69, 0.000178891,  -149.62,          0,     0.00, 6.09713E-006,    60.76
Line.L_65453019, 0.000185758,   -89.85, 0.000181632,   150.31, 0.000178891,    30.38,          0,     0.00, 6.09101E-006,  -119.31, 0.000195941,    90.13, 0.00019181,   -29.72, 0.000189073,  -149.65,          0,     0.00, 6.09055E-006,    60.70
Line.L_65453022, 0.000195942,   -89.87, 0.000191811,   150.28, 0.000189067,    30.35,          0,     0.00, 6.10017E-006,  -119.27, 0.000206122,    90.12, 0.000201992,   -29.74, 0.000199248,  -149.67,          0,     0.00, 6.09936E-006,    60.73
Line.L_65453024, 0.000206122,   -89.88, 0.000201993,   150.26, 0.000199246,    30.32,          0,     0.00, 6.10019E-006,  -119.31, 0.000216302,    90.10, 0.000212172,   -29.76, 0.000209426,  -149.70,          0,     0.00, 6.10128E-006,    60.68
Line.L_65469879, 0.000216301,   -89.90, 0.000212175,   150.24, 0.00020943,    30.30,          0,     0.00, 6.09205E-006,  -119.31, 0.00022648,    90.09, 0.000222354,   -29.78, 0.000219609,  -149.72,          0,     0.00, 6.09463E-006,    60.68
Line.L_65434492, 0.00022648,   -89.91, 0.000222348,   150.22, 0.000219608,    30.28,          0,     0.00, 6.09447E-006,  -119.25, 0.00023666,    90.08, 0.00023253,   -29.80, 0.000229787,  -149.74,          0,     0.00, 6.09674E-006,    60.71
Line.L_65434705,    114.832,   151.79,    114.832,    31.79,    114.832,   -88.21,          0,     0.00, 9.47804E-006,  -125.93,    114.832,   -28.21,    114.832,  -148.21,    114.832,    91.79,          0,     0.00, 9.47697E-006,    54.05
Line.L_65435197,    114.832,   -28.21,    114.832,  -148.21,    114.832,    91.79,          0,     0.00, 3.50213E-006,    42.40,    114.832,   151.79,    114.832,    31.79,    114.832,   -88.21,          0,     0.00, 3.50198E-006,  -137.55
Line.L_65434687,    114.832,   151.79,    114.832,    31.79,    114.832,   -88.21,          0,     0.00, 9.48311E-006,  -125.92,    114.832,   -28.21,    114.832,  -148.21,    114.832,    91.79,          0,     0.00, 9.47835E-006,    54.08
Line.L_65434674,    114.832,   151.79,    114.832,    31.79,    114.832,   -88.21,          0,     0.00, 9.47991E-006,  -125.96,    114.832,   -28.21,    114.832,  -148.21,    114.832,    91.79,          0,     0.00, 9.48002E-006,    54.04
Line.L_65471880,    114.834,   -28.21,    114.834,  -148.21,    114.834,    91.79,          0,     0.00, 3.50138E-006,    42.55,    114.834,   151.79,    114.834,    31.79,    114.834,   -88.21,          0,     0.00, 3.50301E-006,  -137.44
Line.L_65434627,    229.666,   151.79,    229.666,    31.79,    229.666,   -88.21,          0,     0.00, 1.29276E-005,  -129.10,    229.666,   -28.21,    229.666,  -148.21,    229.666,    91.79,          0,     0.00, 1.29282E-005,    50.90
Line.L_65434662,    114.834,   -28.21,    114.834,  -148.21,    114.834,    91.79,          0,     0.00, 3.49824E-006,    42.37,    114.834,   151.79,    114.834,    31.79,    114.834,   -88.21,          0,     0.00, 3.49922E-006,  -137.62
Line.L_65434661,    114.834,   -28.21,    114.834,  -148.21,    114.834,    91.79,          0,     0.00, 3.49964E-006,    42.47,    114.834,   151.79,    114.834,    31.79,    114.834,   -88.21,          0,     0.00, 3.49732E-006,  -137.53
Line.L_65434656,    114.834,   -28.21,    114.834,  -148.21,    114.834,    91.79,          0,     0.00, 3.50301E-006,    42.44,    114.834,   151.79,    114.834,    31.79,    114.834,   -88.21,          0,     0.00, 3.50276E-006,  -137.59
Line.L_65435174,    114.834,   -28.21,    114.834,  -148.21,    114.834,    91.79,          0,     0.00, 3.50257E-006,    42.36,    114.834,   151.79,    114.834,    31.79,    114.834,   -88.21,          0,     0.00, 3.502E-006,  -137.67
Line.L_65435177,    114.834,   -28.21,    114.834,  -148.21,    114.834,    91.79,          0,     0.00, 3.5017E-006,    42.43,    114.834,   151.79,    114.834,    31.79,    114.834,   -88.21,          0,     0.00, 3.50004E-006,  -137.56
Line.L_65435180,    114.834,   -28.21,    114.834,  -148.21,    114.834,    91.79,          0,     0.00, 3.49798E-006,    42.47,    114.834,   151.79,    114.834,    31.79,    114.834,   -88.21,          0,     0.00, 3.49961E-006,  -137.52
Line.L_65434597,    229.666,   151.79,    229.666,    31.79,    229.666,   -88.21,          0,     0.00, 1.29249E-005,  -129.08,    229.666,   -28.21,    229.666,  -148.21,    229.666,    91.79,          0,     0.00, 1.29281E-005,    50.93
Line.L_65434600,    229.666,   151.79,    229.666,    31.79,    229.666,   -88.21,          0,     0.00, 1.29286E-005,  -129.05,    229.666,   -28.21,    229.666,  -148.21,    229.666,    91.79,          0,     0.00, 1.29326E-005,    50.96
Line.L_65434602,    229.666,   151.79,    229.666,    31.79,    229.666,   -88.21,          0,     0.00, 1.29355E-005,  -129.06,    229.666,   -28.21,    229.666,  -148.21,    229.666,    91.79,          0,     0.00, 1.29373E-005,    50.96
Line.L_65434606,    229.666,   151.79,    229.666,    31.79,    229.666,   -88.21,          0,     0.00, 1.29413E-005,  -129.04,    229.666,   -28.21,    229.666,  -148.21,    229.666,    91.79,          0,     0.00, 1.29413E-005,    50.98
Line.L_65434612,    229.666,   151.79,    229.666,    31.79,    229.666,   -88.21,          0,     0.00, 1.29356E-005,  -129.02,    229.666,   -28.21,    229.666,  -148.21,    229.666,    91.79,          0,     0.00, 1.29328E-005,    50.98
Line.L_65434615,    229.666,   151.79,    229.666,    31.79,    229.666,   -88.21,          0,     0.00, 1.29334E-005,  -129.02,    229.666,   -28.21,    229.666,  -148.21,    229.666,    91.79,          0,     0.00, 1.29338E-005,    51.00
Line.L_65434621,    229.666,   151.79,    229.666,    31.79,    229.666,   -88.21,          0,     0.00, 1.29402E-005,  -129.03,    229.666,   -28.21,    229.666,  -148.21,    229.666,    91.79,          0,     0.00, 1.29398E-005,    50.97
Line.L_65434583,    229.666,   151.79,    229.666,    31.79,    229.666,   -88.21,          0,     0.00, 1.294E-005,  -129.01,    229.666,   -28.21,    229.666,  -148.21,    229.666,    91.79,          0,     0.00, 1.29406E-005,    50.99
Line.L_65434379,    114.832,   -28.21,    114.832,  -148.21,    114.832,    91.79,          0,     0.00, 3.49905E-006,    42.32,    114.832,   151.79,    114.832,    31.79,    114.832,   -88.21,          0,     0.00, 3.50382E-006,  -137.62
Line.L_TR_SUB_MT_FIC_1789,    57.4171,   -28.21,    57.4171,  -148.21,    57.4171,    91.79,          0,     0.00, 1.75528E-006,    42.57,    57.4171,   151.79,    57.4171,    31.79,    57.4171,   -88.21,          0,     0.00, 1.75523E-006,  -137.39
Line.L_TR_SUB_MT_FIC_1803,    287.056,   151.79,    287.056,    31.79,    287.056,   -88.21,          0,     0.00, 1.46648E-005,  -130.02,    287.056,   -28.21,    287.056,  -148.21,    287.056,    91.79,          0,     0.00, 1.46665E-005,    49.98
Line.SW_2039_SES, 3.15094E-005,    92.82, 3.03129E-005,   -29.19, 2.91144E-005,  -148.39,          0,     0.00, 1.43547E-006,    85.24, 2.10218E-005,   -86.42, 2.05787E-005,   153.14, 1.89119E-005,    33.69,          0,     0.00, 1.77217E-006,  -137.73
Line.SW_CO1_SES, 2.00272E-005,    90.00, 2.1131E-005,   -29.02, 1.97125E-005,  -147.85,          0,     0.00, 1.92589E-006,   -21.80, 9.53674E-006,   -90.00, 1.11987E-005,   154.80, 9.06304E-006,    35.36,          0,     0.00, 2.78297E-006,   170.13
Line.SW_2016_SES, 1.04965E-005,    91.95, 1.01433E-005,   -29.58, 9.92234E-006,  -144.78,          0,     0.00, 4.29815E-007,   -33.69, 4.91512E-007,   -75.96, 4.76837E-007,   180.00, 1.50789E-006,    71.57,          0,     0.00, 9.61096E-007,    82.87
Line.SW_2018_SES, 2.38419E-006,   -36.87, 7.63312E-007,   141.34, 9.83025E-007,   104.04,          0,     0.00, 1.07288E-006,     0.00, 1.10086E-005,    94.97, 1.06923E-005,   -30.85, 9.85624E-006,  -147.85,          0,     0.00, 2.6656E-007,   116.57
Line.SW_2019_SES, 3.15094E-005,    92.82, 3.03129E-005,   -29.19, 2.91144E-005,  -148.39,          0,     0.00, 1.43547E-006,    85.24, 2.10218E-005,   -86.42, 2.05787E-005,   153.14, 1.89119E-005,    33.69,          0,     0.00, 1.77217E-006,  -137.73
Line.SW_ES01_SES, 9.22742E-005,   -89.33, 9.03833E-005,   151.14, 8.80398E-005,    30.25,          0,     0.00, 4.74597E-006,  -115.28, 0.00010229,    90.73, 0.000100411,   -28.82, 9.78565E-005,  -149.87,          0,     0.00, 5.18115E-006,    66.97
Line.SW_2010_SES, 7.36717E-005,    89.81, 6.86666E-005,   -29.77, 6.83892E-005,  -147.53,          0,     0.00, 3.57628E-006,    53.13, 6.39002E-005,   -90.64, 5.78729E-005,   150.37, 5.85909E-005,    33.04,          0,     0.00, 3.84438E-006,  -119.74
Line.SW_CO3_SES, 2.00272E-005,    90.00, 2.1131E-005,   -29.02, 1.97125E-005,  -147.85,          0,     0.00, 1.92589E-006,   -21.80, 9.53674E-006,   -90.00, 1.11987E-005,   154.80, 9.06304E-006,    35.36,          0,     0.00, 2.78297E-006,   170.13
Line.SW_2011T_SES, 1.05236E-005,    85.45, 9.38428E-006,   -25.59, 1.02631E-005,  -149.26,          0,     0.00, 1.28392E-006,    68.20, 5.96046E-007,   -53.13, 7.9968E-007,   -63.43, 4.76837E-007,     0.00,          0,     0.00, 1.68587E-006,   -45.00
Line.SW_2031T_SES, 1.05236E-005,    85.45, 9.38428E-006,   -25.59, 1.02631E-005,  -149.26,          0,     0.00, 1.28392E-006,    68.20, 5.96046E-007,   -53.13, 7.9968E-007,   -63.43, 4.76837E-007,     0.00,          0,     0.00, 1.68587E-006,   -45.00
Line.SW_C10891_CHVPRI,     57.416,   -28.21,     57.416,  -148.21,     57.416,    91.79,          0,     0.00, 1.49369E-006,   -28.61,     57.416,   151.79,     57.416,    31.79,     57.416,   -88.21,          0,     0.00, 1.65611E-006,   120.26
Line.SW_C10909_CHVPRI,     57.416,   -28.21,     57.416,  -148.21,     57.416,    91.79,          0,     0.00, 1.49369E-006,   -28.61,     57.416,   151.79,     57.416,    31.79,     57.416,   -88.21,          0,     0.00, 1.65611E-006,   120.26
Line.SW_C11067_CHVPRI,    287.056,   151.79,    287.056,    31.79,    287.056,   -88.21,          0,     0.00, 1.40834E-005,  -133.29,    287.056,   -28.21,    287.056,  -148.21,    287.056,    91.79,          0,     0.00, 1.45947E-005,    47.32
Line.SW_C11070_CHVPRI,    57.3902,   -28.20,    57.3902,  -148.20,    57.3902,    91.80,          0,     0.00, 2.03705E-006,    20.56,    57.3902,   151.80,    57.3902,    31.80,    57.3902,   -88.20,          0,     0.00, 1.73571E-006,  -164.05
Line.SW_C13112_CHVPRI,    57.4171,   -28.21,    57.4171,  -148.21,    57.4171,    91.79,          0,     0.00, 2.38419E-007,    90.00,    57.4171,   151.79,    57.4171,    31.79,    57.4171,   -88.21,          0,     0.00, 2.19811E-006,  -167.47
