Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.L_TR_SUB_MT_FIC_534, 2.540459, 1.014688, 2.540459, 1.014688, 0, 0
Line.L_TR_SUB_MT_FIC_537, 2.540601, 1.014799, 2.540601, 1.014799, 0, 0
Line.L_TR_SUB_MT_FIC_542, 2.541673, 1.015375, 2.541673, 1.015375, 0, 0
Line.L_TR_SUB_MT_FIC_545, 2.541673, 1.015375, 2.541673, 1.015375, 0, 0
Line.L_TR_SUB_MT_FIC_549, 2.541753, 1.015443, 2.541753, 1.015443, 0, 0
Line.L_TR_SUB_MT_FIC_553, 2.541753, 1.015443, 2.541753, 1.015443, 0, 0
Line.L_65434592, 10.16673, 4.79161, 10.16673, 4.79161, 0, 0
Line.L_TR_SUB_MT_FIC_3072, 2.541676, 1.015399, 2.541676, 1.015399, 0, 0
Line.L_TR_SUB_MT_FIC_3254, 2.540596, 1.014765, 2.540596, 1.014765, 0, 0
Line.L_TR_SUB_MT_FIC_3312, 2.541749, 1.015441, 2.541749, 1.015441, 0, 0
Line.L_TR_SUB_MT_FIC_3354, 2.541676, 1.015399, 2.541676, 1.015399, 0, 0
Line.L_65632489, -1.781767E-007, -0.2433601, -1.781767E-007, -0.2433601, 0, 0
Line.L_65453103, 2.008108E-005, -0.243349, 2.008108E-005, -0.243349, 0, 0
Line.L_65453088, 7.24246E-006, -0.2433527, 7.24246E-006, -0.2433527, 0, 0
Line.L_65453072, 2.094575E-005, -0.2433458, 2.094575E-005, -0.2433458, 0, 0
Line.L_65453042, 1.919026E-005, -0.243369, 1.919026E-005, -0.243369, 0, 0
Line.L_65453041, 4.373715E-006, -0.243368, 4.373715E-006, -0.243368, 0, 0
Line.L_65453376, 6.731751E-006, -0.243362, 6.731751E-006, -0.243362, 0, 0
Line.L_65453360, -8.962544E-006, -0.2433726, -8.962544E-006, -0.2433726, 0, 0
Line.L_65453019, -1.025782E-006, -0.2433525, -1.025782E-006, -0.2433525, 0, 0
Line.L_65453022, -1.571011E-005, -0.243352, -1.571011E-005, -0.243352, 0, 0
Line.L_65453024, -7.459099E-006, -0.2433633, -7.459099E-006, -0.2433633, 0, 0
Line.L_65469879, -1.606642E-007, -0.243349, -1.606642E-007, -0.243349, 0, 0
Line.L_65434492, 1.06102E-005, -0.2433358, 1.06102E-005, -0.2433358, 0, 0
Line.L_65434705, 10.16669, 4.791561, 10.16669, 4.791561, 0, 0
Line.L_65435197, 10.16672, 4.791592, 10.16672, 4.791592, 0, 0
Line.L_65434687, 10.1667, 4.791576, 10.1667, 4.791576, 0, 0
Line.L_65434674, 10.16669, 4.791568, 10.16669, 4.791568, 0, 0
Line.L_65471880, 10.16693, 4.791712, 10.16693, 4.791712, 0, 0
Line.L_65434627, 40.66716, 19.89656, 40.66716, 19.89656, 0, 0
Line.L_65434662, 10.16693, 4.791708, 10.16693, 4.791708, 0, 0
Line.L_65434661, 10.16692, 4.791706, 10.16692, 4.791706, 0, 0
Line.L_65434656, 10.16691, 4.79171, 10.16691, 4.79171, 0, 0
Line.L_65435174, 10.1669, 4.791699, 10.1669, 4.791699, 0, 0
Line.L_65435177, 10.1669, 4.791693, 10.1669, 4.791693, 0, 0
Line.L_65435180, 10.1669, 4.791709, 10.1669, 4.791709, 0, 0
Line.L_65434597, 40.66716, 19.89655, 40.66716, 19.89655, 0, 0
Line.L_65434600, 40.66716, 19.89654, 40.66716, 19.89654, 0, 0
Line.L_65434602, 40.66715, 19.89654, 40.66715, 19.89654, 0, 0
Line.L_65434606, 40.66713, 19.89651, 40.66713, 19.89651, 0, 0
Line.L_65434612, 40.66715, 19.89654, 40.66715, 19.89654, 0, 0
Line.L_65434615, 40.66714, 19.8965, 40.66714, 19.8965, 0, 0
Line.L_65434621, 40.66713, 19.89647, 40.66713, 19.89647, 0, 0
Line.L_65434583, 40.66715, 19.89647, 40.66715, 19.89647, 0, 0
Line.L_65434379, 10.16672, 4.791604, 10.16672, 4.791604, 0, 0
Line.L_TR_SUB_MT_FIC_1789, 2.541749, 1.015441, 2.541749, 1.015441, 0, 0
Line.L_TR_SUB_MT_FIC_1803, 63.53691, 31.22243, 63.53691, 31.22243, 0, 0
Line.SW_2039_SES, 0.003164663, -0.2401032, 0.003164663, -0.2401032, 0, 0
Line.SW_CO1_SES, -0.006508197, -0.2421708, -0.006508197, -0.2421708, 0, 0
Line.SW_2016_SES, 0.006767239, -0.243208, 0.006767239, -0.243208, 0, 0
Line.SW_2018_SES, 0.01453984, -0.2434061, 0.01453984, -0.2434061, 0, 0
Line.SW_2019_SES, 0.003164663, -0.2401032, 0.003164663, -0.2401032, 0, 0
Line.SW_ES01_SES, -0.006189459, -0.2443903, -0.006189459, -0.2443903, 0, 0
Line.SW_2010_SES, 0.011256, -0.2425208, 0.011256, -0.2425208, 0, 0
Line.SW_CO3_SES, -0.006508197, -0.2421708, -0.006508197, -0.2421708, 0, 0
Line.SW_2011T_SES, -0.01214546, -0.2518998, -0.01214546, -0.2518998, 0, 0
Line.SW_2031T_SES, -0.01214546, -0.2518998, -0.01214546, -0.2518998, 0, 0
Line.SW_C10891_CHVPRI, -9.455229E-005, -0.2310964, -9.455229E-005, -0.2310964, 0, 0
Line.SW_C10909_CHVPRI, -9.455229E-005, -0.2310964, -9.455229E-005, -0.2310964, 0, 0
Line.SW_C11067_CHVPRI, 0.06891492, -0.1879981, 0.06891492, -0.1879981, 0, 0
Line.SW_C11070_CHVPRI, -0.0005687487, -0.2521291, -0.0005687487, -0.2521291, 0, 0
Line.SW_C13112_CHVPRI, 0.005508615, -0.2431092, 0.005508615, -0.2431092, 0, 0
Line.SW_C13116_CHVPRI, 0.005508615, -0.2431092, 0.005508615, -0.2431092, 0, 0
Transformer.T_C13112_SUBT, 9219.938, 41604.36, 9219.938, 32270.75, 0, 9333.613
Transformer.T_C13116_SUBT, 9219.938, 41604.36, 9219.938, 32270.75, 0, 9333.613
Transformer.T_C11067_SUBT, 9215.342, 41592.96, 9215.342, 32254.66, -1.421085E-014, 9338.292
Transformer.T_C11070_SUBT, 9215.835, 41594.18, 9215.835, 32256.39, -2.273737E-013, 9337.79
