Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SES_ES02_PT_CH1_534_S", 12.47, 1,    7934.12,   -0.3,     1.102, 2,    7934.12, -120.3,     1.102, 3,    7934.12,  119.7,     1.102
"SES_ES02_PT_TF_535", 12.47, 1,    7934.05,   -0.3,     1.102, 2,    7934.05, -120.3,     1.102, 3,    7934.05,  119.7,     1.102
"SES_ES02_PT_CH1_537_S", 12.47, 1,    7933.46,   -0.3,    1.1019, 2,    7933.46, -120.3,    1.1019, 3,    7933.46,  119.7,    1.1019
"SES_ES02_PT_TF_538", 12.47, 1,    7933.39,   -0.3,    1.1019, 2,    7933.39, -120.3,    1.1019, 3,    7933.39,  119.7,    1.1019
"SES_ES02_PT_CH1_539_S", 12.47, 1,    7926.13,   -0.3,    1.1009, 2,    7926.13, -120.3,    1.1009, 3,    7926.13,  119.7,    1.1009
"SES_ES02_PT_TF_540", 12.47, 1,    7926.06,   -0.3,    1.1009, 2,    7926.06, -120.3,    1.1009, 3,    7926.06,  119.7,    1.1009
"SES_ES02_PT_CH1_542_S", 12.47, 1,    7926.38,   -0.3,     1.101, 2,    7926.38, -120.3,     1.101, 3,    7926.38,  119.7,     1.101
"SES_ES02_PT_TF_543", 12.47, 1,    7926.32,   -0.3,    1.1009, 2,    7926.32, -120.3,    1.1009, 3,    7926.32,  119.7,    1.1009
"SES_ES02_PT_CH1_549_S", 12.47, 1,    7927.79,   -0.3,    1.1011, 2,    7927.79, -120.3,    1.1011, 3,    7927.79,  119.7,    1.1011
"SES_ES02_PT_TF_550", 12.47, 1,    7927.72,   -0.3,    1.1011, 2,    7927.72, -120.3,    1.1011, 3,    7927.72,  119.7,    1.1011
"SES_ES02_PT_CH1_553_S", 12.47, 1,    7927.79,   -0.3,    1.1011, 2,    7927.79, -120.3,    1.1011, 3,    7927.79,  119.7,    1.1011
"SES_ES02_PT_TF_554", 12.47, 1,    7927.72,   -0.3,    1.1011, 2,    7927.72, -120.3,    1.1011, 3,    7927.72,  119.7,    1.1011
"SES_ES02_11252189", 12.47, 1,    7927.86,   -0.3,    1.1012, 2,    7927.86, -120.3,    1.1012, 3,    7927.86,  119.7,    1.1012
"SES_ES02_PT_CH1_549", 12.47, 1,    7927.79,   -0.3,    1.1011, 2,    7927.79, -120.3,    1.1011, 3,    7927.79,  119.7,    1.1011
"SES_ES02_11251796", 12.47, 1,    7933.52,   -0.3,    1.1019, 2,    7933.52, -120.3,    1.1019, 3,    7933.52,  119.7,    1.1019
"SES_ES02_PT_CH1_534", 12.47, 1,    7934.12,   -0.3,     1.102, 2,    7934.12, -120.3,     1.102, 3,    7934.12,  119.7,     1.102
"SES_ES02_11251820", 12.47, 1,    7928.41,   -0.3,    1.1012, 2,    7928.41, -120.3,    1.1012, 3,    7928.41,  119.7,    1.1012
"SES_ES02_11251806", 12.47, 1,     7928.8,   -0.3,    1.1013, 2,     7928.8, -120.3,    1.1013, 3,     7928.8,  119.7,    1.1013
"SES_ES02_11251818", 12.47, 1,    7928.66,   -0.3,    1.1013, 2,    7928.66, -120.3,    1.1013, 3,    7928.66,  119.7,    1.1013
"SES_ES02_11251807", 12.47, 1,    7929.32,   -0.3,    1.1014, 2,    7929.32, -120.3,    1.1014, 3,    7929.32,  119.7,    1.1014
"SES_ES02_11251817", 12.47, 1,    7928.53,   -0.3,    1.1013, 2,    7928.53, -120.3,    1.1013, 3,    7928.53,  119.7,    1.1013
"SES_ES02_11251816", 12.47, 1,    7928.39,   -0.3,    1.1012, 2,    7928.39, -120.3,    1.1012, 3,    7928.39,  119.7,    1.1012
"SES_ES02_11251815", 12.47, 1,    7928.26,   -0.3,    1.1012, 2,    7928.26, -120.3,    1.1012, 3,    7928.26,  119.7,    1.1012
"SES_ES02_11251742", 12.47, 1,    7928.12,   -0.3,    1.1012, 2,    7928.12, -120.3,    1.1012, 3,    7928.12,  119.7,    1.1012
"SES_ES02_11251743", 12.47, 1,    7927.99,   -0.3,    1.1012, 2,    7927.99, -120.3,    1.1012, 3,    7927.99,  119.7,    1.1012
"SES_ES02_11251808", 12.47, 1,    7929.85,   -0.3,    1.1014, 2,    7929.85, -120.3,    1.1014, 3,    7929.85,  119.7,    1.1014
"SES_ES02_11251809", 12.47, 1,    7930.37,   -0.3,    1.1015, 2,    7930.37, -120.3,    1.1015, 3,    7930.37,  119.7,    1.1015
"SES_ES02_11251810", 12.47, 1,     7930.9,   -0.3,    1.1016, 2,     7930.9, -120.3,    1.1016, 3,     7930.9,  119.7,    1.1016
"SES_ES02_11251812", 12.47, 1,    7931.42,   -0.3,    1.1017, 2,    7931.42, -120.3,    1.1017, 3,    7931.42,  119.7,    1.1017
"SES_ES02_11251811", 12.47, 1,    7931.95,   -0.3,    1.1017, 2,    7931.95, -120.3,    1.1017, 3,    7931.95,  119.7,    1.1017
"SES_ES02_11251813", 12.47, 1,    7932.47,   -0.3,    1.1018, 2,    7932.47, -120.3,    1.1018, 3,    7932.47,  119.7,    1.1018
"SES_ES02_11251814", 12.47, 1,       7933,   -0.3,    1.1019, 2,       7933, -120.3,    1.1019, 3,       7933,  119.7,    1.1019
"SES_ES02_11251822", 12.47, 1,    7927.23,   -0.3,    1.1011, 2,    7927.23, -120.3,    1.1011, 3,    7927.23,  119.7,    1.1011
"SES_ES02_11251823", 12.47, 1,    7926.84,   -0.3,     1.101, 2,    7926.84, -120.3,     1.101, 3,    7926.84,  119.7,     1.101
"ES_ALES02", 12.47, 1,    7927.62,   -0.3,    1.1011, 2,    7927.62, -120.3,    1.1011, 3,    7927.62,  119.7,    1.1011
